TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_LOGS_TC_001,Quản lý Nhật ký,High,Happy Path - Tải danh sách toàn bộ nhật ký hệ thống thành công,"Admin đã đăng nhập, có quyền log.view. Hệ thống có nhiều bản ghi nhật ký.",1. Truy cập trang Quản lý Nhật ký2. Quan sát danh sách bản ghi tải ra,,"Danh sách nhật ký được tải thành công từ GET /nhat-ky. Hiển thị đầy đủ các cột: Mã nhật ký, Người thực hiện, Vai trò, Thao tác, Trạng thái, Thời gian, Địa chỉ IP, Chi tiết. Sắp xếp giảm dần theo ThoiGian.",High,Danh sách nhật ký được tải thành công từ GET /nhat-ky. Hiển thị đầy đủ các cột và sắp xếp giảm dần theo ThoiGian.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_002,Quản lý Nhật ký,Medium,Happy Path - Dashboard stats hiển thị đúng thống kê nhật ký trong ngày hôm nay,"Hệ thống có các log phát sinh trong ngày hôm nay bao gồm: đăng nhập thành công, thao tác thất bại, đặt vé.","1. Truy cập trang Quản lý Nhật ký2. Quan sát 4 thẻ thống kê ở đầu trang: Tổng log hôm nay, Đăng nhập thành công, Thao tác thất bại, Đặt vé hôm nay",,Thẻ Tổng log hôm nay = số bản ghi có ThoiGian trong ngày hiện tại. Thẻ Đăng nhập thành công = số log có LoaiThaoTac='Đăng nhập' và TrangThai='Thành công' hôm nay. Thẻ Thao tác thất bại = số log có TrangThai='Thất bại' hôm nay. Thẻ Đặt vé = số log có LoaiThaoTac='Đặt vé' hôm nay.,High,Dashboard hiển thị đúng 4 thẻ thống kê hoạt động trong ngày hôm nay.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_003,Quản lý Nhật ký,High,Happy Path - Tự động ghi log khi nhân viên đăng nhập thành công,Tài khoản nhân viên banve1 chưa đăng nhập. Hệ thống hoạt động bình thường.,1. Nhân viên banve1 đăng nhập thành công tại trang /admin-login2. Admin truy cập trang Quản lý Nhật ký3. Tìm kiếm theo tên/mã nhân viên banve1,Tài khoản: banve1,"Xuất hiện 1 bản ghi log mới: LoaiThaoTac='Đăng nhập', TrangThai='Thành công', MaNhanVien=mã của banve1, NoiDungChiTiet='Nhân viên đăng nhập thành công vào hệ thống Admin.', DiaChiIP và ThoiGian được ghi nhận.",High,Hệ thống tự động ghi nhận log khi nhân viên đăng nhập thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_004,Quản lý Nhật ký,High,Happy Path - Tự động ghi log khi khóa tài khoản khách hàng,"Khách hàng KH100001 đang hoạt động, không có vé ChoKhoiHanh.",1. Admin khóa tài khoản KH100001 với lý do 'Spam đặt vé'2. Truy cập trang Quản lý Nhật ký3. Tìm kiếm theo mã KH100001,MaKhachHang: KH100001 | Lý do: Spam đặt vé,"Xuất hiện 1 bản ghi log: LoaiThaoTac='Quản lý tài khoản', TrangThai='Thành công', MaKhachHang=KH100001, TrangThaiCu='HoatDong', TrangThaiMoi='DaKhoa', DuLieuThayDoi chứa array [{truong: TrangThaiTaiKhoan, ...}, {truong: LyDoKhoa, ...}].",High,Ghi nhận log thành công khi Admin thực hiện khóa tài khoản khách hàng kèm thông tin thay đổi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_005,Quản lý Nhật ký,High,Happy Path - Tự động ghi log khi mở khóa tài khoản khách hàng,Khách hàng KH100002 đang ở trạng thái DaKhoa.,1. Admin mở khóa tài khoản KH1000022. Truy cập trang Quản lý Nhật ký3. Tìm kiếm theo mã KH100002,MaKhachHang: KH100002,"Xuất hiện 1 bản ghi log: LoaiThaoTac='Quản lý tài khoản', TrangThai='Thành công', TrangThaiCu='DaKhoa', TrangThaiMoi='HoatDong', DuLieuThayDoi ghi nhận thay đổi TrangThaiTaiKhoan.",High,Ghi nhận log thành công khi Admin thực hiện mở khóa tài khoản khách hàng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_006,Quản lý Nhật ký,High,Happy Path - Tự động ghi log khi tạo mới khách hàng,Admin đang ở trang quản lý khách hàng.,1. Admin tạo mới tài khoản khách hàng Nguyễn Văn Test2. Truy cập trang Quản lý Nhật ký,Họ tên KH mới: Nguyễn Văn Test,"Xuất hiện 1 bản ghi log: LoaiThaoTac='Tạo mới', TrangThai='Thành công', MaKhachHang=mã của KH mới tạo, NoiDungChiTiet='Tạo mới tài khoản khách hàng: Nguyễn Văn Test'.",High,Ghi nhận log thành công khi tạo mới tài khoản khách hàng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_007,Quản lý Nhật ký,Medium,Happy Path - Tự động ghi log khi cập nhật thông tin khách hàng,Khách hàng KH100001 đã tồn tại.,1. Admin sửa Họ tên KH100001 từ 'Nguyễn Văn A' thành 'Nguyễn Văn A Sửa'2. Truy cập trang Quản lý Nhật ký,KH: KH100001 | Họ tên mới: Nguyễn Văn A Sửa,"Xuất hiện 1 bản ghi log: LoaiThaoTac='Cập nhật thông tin cá nhân', TrangThai='Thành công', DuLieuThayDoi là array các trường thay đổi với giaTriCu và giaTriMoi tương ứng.",Medium,Ghi nhận log thành công khi cập nhật thông tin cá nhân khách hàng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_008,Quản lý Nhật ký,Medium,Happy Path - Tự động ghi log khi nhân viên đổi mật khẩu,Nhân viên banve1 đang đăng nhập.,"1. banve1 thực hiện đổi mật khẩu tài khoản của mình2. Admin truy cập trang Quản lý Nhật ký, lọc theo banve1",Tài khoản: banve1,"Xuất hiện 1 bản ghi log: LoaiThaoTac='Doi mat khau', TrangThai='Thành công', MaNhanVien=mã banve1, NoiDungChiTiet='Nhan vien doi mat khau tai khoan Admin.'",Medium,Ghi nhận log thành công khi nhân viên đổi mật khẩu tài khoản.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_009,Quản lý Nhật ký,Medium,Happy Path - Lọc nhật ký theo khoảng thời gian hợp lệ,Hệ thống có log phát sinh từ 25/05/2026 đến 31/05/2026.,1. Chọn Từ ngày: 2026-05-282. Chọn Đến ngày: 2026-05-293. Click Lọc hoặc applyFilters(),fromDate: 2026-05-28 | toDate: 2026-05-29,Bảng chỉ hiển thị các bản ghi log có ThoiGian (phần ngày yyyy-MM-dd) nằm trong khoảng 2026-05-28 đến 2026-05-29 (so sánh chuỗi). Các bản ghi ngoài khoảng không xuất hiện.,High,Bộ lọc hoạt động chính xác khi lọc log theo khoảng thời gian hợp lệ.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_LOGS_TC_010,Quản lý Nhật ký,Medium,Happy Path - Lọc nhật ký theo Vai trò người thực hiện (Khách hàng),Hệ thống có log của nhiều vai trò khác nhau.,1. Chọn filter Vai trò: 'Khách hàng'2. Click Lọc,Vai trò: Khách hàng,Chỉ hiển thị các bản ghi log có loaiTaiKhoan='Khách hàng' (tức là log có MaKhachHang khác null). Các log của nhân viên không xuất hiện.,High,Bộ lọc hoạt động chính xác khi lọc vai trò người thực hiện là Khách hàng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
