TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_ACCOUNTS_TC_001,Quản lý Tài khoản,Medium,Happy Path - Tìm kiếm khách hàng theo Số điện thoại,Ban quản lý đã đăng nhập và đang ở trang quản lý khách hàng. Hệ thống có khách hàng Nguyễn Văn B có SĐT 0912345678.,"1. Nhập SĐT ""0912345678"" vào ô tìm kiếm2. Click nút tìm kiếm hoặc nhấn Enter",Số điện thoại: 0912345678,Bảng danh sách lọc đúng và hiển thị duy nhất thông tin khách hàng Nguyễn Văn B có SĐT 0912345678.,High,"Tìm kiếm khách hàng bằng Số điện thoại thành công, hiển thị chính xác kết quả.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_002,Quản lý Tài khoản,Medium,Happy Path - Tìm kiếm khách hàng theo Họ tên,Ban quản lý đã đăng nhập. Hệ thống có khách hàng Phan Thị Trang.,"1. Nhập từ khóa ""Phan Thị Trang"" vào ô tìm kiếm2. Click nút tìm kiếm",Họ tên: Phan Thị Trang,Bảng danh sách lọc đúng và hiển thị thông tin khách hàng Phan Thị Trang.,High,"Tìm kiếm khách hàng bằng Họ tên thành công, hiển thị chính xác kết quả.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_003,Quản lý Tài khoản,Medium,Happy Path - Tìm kiếm khách hàng theo Email,Ban quản lý đã đăng nhập. Hệ thống có khách hàng với email phan.trang@gmail.com.,"1. Nhập từ khóa ""phan.trang@gmail.com"" vào ô tìm kiếm2. Click nút tìm kiếm",Email: phan.trang@gmail.com,Bảng danh sách lọc đúng và hiển thị thông tin khách hàng có email phan.trang@gmail.com.,Medium,"Tìm kiếm theo email hoạt động đúng, hiển thị kết quả chính xác.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_004,Quản lý Tài khoản,Medium,Happy Path - Tìm kiếm khách hàng theo Mã khách hàng,Ban quản lý đã đăng nhập. Hệ thống có khách hàng với Mã KH100001.,"1. Nhập ""KH100001"" vào ô tìm kiếm2. Click nút tìm kiếm",Mã KH: KH100001,Bảng danh sách hiển thị đúng 1 dòng khách hàng có mã KH100001.,Medium,Tìm kiếm theo Mã KH hoạt động chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_005,Quản lý Tài khoản,Medium,Happy Path - Lọc khách hàng theo Tab Đang hoạt động và Đã khóa,Hệ thống có cả tài khoản khách hàng đang hoạt động và bị khóa.,"1. Click chọn tab ""Đang hoạt động""2. Quan sát danh sách3. Click chọn tab ""Đã khóa""4. Quan sát danh sách",,Tab Đang hoạt động chỉ hiển thị khách hàng có trạng thái HoatDong. Tab Đã khóa chỉ hiển thị khách hàng có trạng thái DaKhoa.,High,Tab lọc trạng thái hoạt động đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_006,Quản lý Tài khoản,Low,Happy Path - Lọc khách hàng theo giới tính,Ban quản lý đang ở danh sách khách hàng. Hệ thống có khách hàng Nam và Nữ.,"1. Chọn filter giới tính ""Nữ""2. Quan sát danh sách kết quả",Filter: Nữ,Chỉ hiển thị danh sách khách hàng có giới tính là Nữ.,Medium,Lọc theo giới tính Nữ hiển thị đúng kết quả.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_007,Quản lý Tài khoản,Low,Alternate Path - Tìm kiếm khách hàng không tồn tại,Ban quản lý đang ở danh sách khách hàng.,"1. Nhập từ khóa ""KH_999999_NOT_EXIST"" vào ô tìm kiếm2. Click nút tìm kiếm",Từ khóa: KH_999999_NOT_EXIST,Bảng danh sách không hiển thị dòng dữ liệu nào. Giao diện trống hoặc hiển thị thông báo không tìm thấy kết quả.,Medium,Tìm kiếm khách hàng không tồn tại hiển thị bảng trống.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_008,Quản lý Tài khoản,High,Happy Path - Thêm mới khách hàng thành công với đầy đủ thông tin,Ban quản lý đã đăng nhập và đang ở trang quản lý khách hàng.,"1. Click nút ""Thêm tài khoản mới""2. Điền đầy đủ thông tin: Họ tên ""Đỗ Hoàng Nam"", SĐT ""0945551234"", Email ""hoangnam.do@gmail.com"", Giới tính ""Nam"", Ngày sinh ""15/08/1995""3. Click nút ""Tạo tài khoản""",Họ tên: Đỗ Hoàng Nam | SĐT: 0945551234 | Email: hoangnam.do@gmail.com | Giới tính: Nam | Ngày sinh: 15/08/1995,Thêm mới khách hàng thành công. Hiển thị toast thành công. Khách hàng mới hiển thị trên bảng danh sách với trạng thái Đang hoạt động. Mật khẩu mặc định là 123456.,High,"Thêm mới khách hàng thành công, toast hiển thị, danh sách cập nhật.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_009,Quản lý Tài khoản,High,Negative - Thêm mới khách hàng với Số điện thoại đã tồn tại,Hệ thống đã có khách hàng với SĐT 0945551234.,"1. Click nút ""Thêm tài khoản mới""2. Điền Họ tên ""Lê Văn Khác"", SĐT ""0945551234"" (đã tồn tại), Email ""khac@gmail.com""3. Click nút ""Tạo tài khoản""",SĐT: 0945551234 (đã tồn tại),Hệ thống từ chối tạo mới và hiển thị thông báo lỗi từ server: Số điện thoại này đã được đăng ký trước đó!,High,"Server trả về lỗi trùng số điện thoại, không tạo tài khoản mới.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_ACCOUNTS_TC_010,Quản lý Tài khoản,High,Negative - Thêm mới khách hàng với Email đã tồn tại,Hệ thống đã có khách hàng với email hoangnam.do@gmail.com.,"1. Click nút ""Thêm tài khoản mới""2. Điền Họ tên ""Lê Văn Khác"", SĐT ""0911111111"", Email ""hoangnam.do@gmail.com"" (đã tồn tại)3. Click nút ""Tạo tài khoản""",Email: hoangnam.do@gmail.com (đã tồn tại),Hệ thống từ chối tạo mới và hiển thị thông báo lỗi từ server: Email này đã được đăng ký trước đó!,High,"Server trả về lỗi trùng email, không tạo tài khoản mới.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
