TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_REV_TC_001,Gửi đánh giá,High,Happy Path - Gửi đánh giá 5 sao hợp lệ với đầy đủ thông tin nhận xét và ảnh,"Khách hàng đã đăng nhập. Vé xe VE100001 ở trạng thái ""ChoKhoiHanh"" hoặc ""DaHoanThanh"" chưa được đánh giá.","1. Mở form đánh giá cho vé VE1000012. Click chọn 5 sao3. Nhập nội dung nhận xét4. Thêm 1 URL ảnh đính kèm5. Click nút ""Gửi đánh giá""","MaVe: VE100001 | MaKhachHang: KH001 | SoSao: 5 | NoiDungDanhGia: Xe chạy rất êm, nhân viên thân thiện. | mediaUrls: [""https://test.com/image.png""]","1. Hiển thị thông báo thành công: ""Tạo đánh giá thành công!"".2. Trạng thái của vé VE100001 trong DB chuyển sang ""DaDanhGia"".3. Mã đánh giá tự sinh có định dạng dạng DG100001.4. Ghi nhận thông tin ảnh vào bảng MEDIA_DANH_GIA.",High,Gửi đánh giá 5 sao hợp lệ với đầy đủ thông tin nhận xét và ảnh đính kèm thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_002,Gửi đánh giá,High,Happy Path - Gửi đánh giá chỉ có số sao (không nhận xét, không ảnh),Vé xe VE100002 ở trạng thái chưa đánh giá.,"1. Mở form đánh giá cho vé VE1000022. Click chọn 3 sao3. Bỏ trống nội dung nhận xét và ảnh4. Click nút ""Gửi đánh giá""",MaVe: VE100002 | MaKhachHang: KH001 | SoSao: 3 | NoiDungDanhGia: (Rỗng) | mediaUrls: [],"1. Đánh giá được gửi thành công.2. Trạng thái vé chuyển sang ""DaDanhGia"".3. Nội dung nhận xét lưu trong DB là null/rỗng.","Gửi đánh giá chỉ có số sao (không nhận xét, không ảnh) thành công.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_003,Gửi đánh giá,High,Happy Path - Gửi đánh giá tiêu cực (1 sao) kèm chấm điểm các tiêu chí phụ,Vé xe VE100003 ở trạng thái chưa đánh giá.,"1. Mở form đánh giá cho vé VE1000032. Click chọn 1 sao3. Chấm điểm các tiêu chí phụ: Sạch sẽ: 1/5, Đúng giờ: 1/5, An toàn: 2/54. Click ""Gửi đánh giá""","MaVe: VE100003 | SoSao: 1 | TieuChiPhu: {SachSe: 1, DungGio: 1, AnToan: 2}",1. Gửi đánh giá thành công.2. Điểm các tiêu chí phụ được lưu nhận vào DB để phục vụ thống kê.,High,Gửi đánh giá tiêu cực (1 sao) kèm chấm điểm các tiêu chí phụ thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_004,Gửi đánh giá,High,Validation - Bỏ trống mã vé (MaVe) khi gửi yêu cầu đánh giá,Khách hàng đang đăng nhập.,1. Gửi request API tạo đánh giá nhưng bỏ trống MaVe,MaVe: (Rỗng) | MaKhachHang: KH001 | SoSao: 5,"1. API trả về status 400 Bad Request2. Báo lỗi yêu cầu cung cấp mã vé hợp lệ, không tạo đánh giá.",High,"Bỏ trống mã vé (MaVe) khi gửi yêu cầu đánh giá, API trả về status 400 đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_005,Gửi đánh giá,High,Validation - Bỏ trống mã khách hàng (MaKhachHang),Khách hàng chưa đăng nhập.,1. Gửi request tạo đánh giá nhưng bỏ trống MaKhachHang,MaVe: VE100001 | MaKhachHang: (Rỗng) | SoSao: 5,1. API báo lỗi không tạo được đánh giá.,High,"Bỏ trống mã khách hàng (MaKhachHang), API báo lỗi không tạo được đánh giá đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_006,Gửi đánh giá,High,Boundary - Chấm số sao ở biên dưới hợp lệ (1 sao),Vé xe VE100004 ở trạng thái chưa đánh giá.,"1. Mở form đánh giá2. Chọn số sao là 13. Click ""Gửi đánh giá""",SoSao: 1,"Gửi thành công, số sao ghi nhận là 1.",High,Chấm số sao ở biên dưới hợp lệ (1 sao) gửi thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_007,Gửi đánh giá,High,Boundary - Chấm số sao ở biên trên hợp lệ (5 sao),Vé xe VE100005 ở trạng thái chưa đánh giá.,"1. Mở form đánh giá2. Chọn số sao là 53. Click ""Gửi đánh giá""",SoSao: 5,"Gửi thành công, số sao ghi nhận là 5.",High,Chấm số sao ở biên trên hợp lệ (5 sao) gửi thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_008,Gửi đánh giá,High,Validation - Chấm số sao ngoài khoảng hợp lệ (0 sao),Vé xe VE100006 ở trạng thái chưa đánh giá.,1. Gửi API tạo đánh giá với số sao là 0,SoSao: 0,API báo lỗi validation: số sao phải nằm trong khoảng từ 1 đến 5.,High,"Chấm số sao là 0, API báo lỗi validation số sao phải từ 1 đến 5 đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_009,Gửi đánh giá,High,Validation - Chấm số sao ngoài khoảng hợp lệ (6 sao),Vé xe VE100007 ở trạng thái chưa đánh giá.,1. Gửi API tạo đánh giá với số sao là 6,SoSao: 6,API báo lỗi validation: số sao phải nằm trong khoảng từ 1 đến 5.,High,"Chấm số sao là 6, API báo lỗi validation số sao phải từ 1 đến 5 đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_010,Gửi đánh giá,High,Edge Case - Cơ chế tự động thử lại (Retry) khi trùng mã đánh giá (MaDanhGia),Hệ thống đang sinh mã đánh giá. Lần sinh ngẫu nhiên đầu tiên trả về mã DG100001 đã tồn tại trong DB.,1. Thực hiện gửi đánh giá2. Quan sát hệ thống xử lý trùng khóa unique constraint P2002,Mã trùng: DG100001,1. Hệ thống tự động thử lại tối đa 5 lần để sinh mã mới không trùng (Ví dụ: DG100002).2. Đánh giá được tạo thành công với mã mới.3. Không báo lỗi ra cho người dùng.,High,"Cơ chế tự động thử lại (Retry) khi trùng mã đánh giá hoạt động tốt, tạo đánh giá thành công.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_011,Gửi đánh giá,High,State Transition - Trạng thái phản hồi mặc định và cập trạng thái đơn hàng,Vé xe VE100001 thuộc đơn hàng DH10000001.,1. Thực hiện gửi đánh giá thành công cho vé VE1000012. Kiểm tra DB của đơn hàng DH10000001 và bản ghi đánh giá vừa tạo,MaVe: VE100001,"1. Trạng thái phản hồi của đánh giá ghi nhận là ""ChuaPhanHoi"".2. Trạng thái đơn hàng DH10000001 và vé điện tử VE100001 chuyển sang ""DaDanhGia"".",High,"Gửi đánh giá thành công, trạng thái phản hồi mặc định ghi nhận là ""ChuaPhanHoi"" đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_012,Gửi đánh giá,High,Security - Đánh giá trùng lặp trên một vé xe đã được đánh giá trước đó,"Vé xe VE100001 đã có trạng thái ""DaDanhGia"" trong hệ thống.",1. Gửi tiếp API tạo đánh giá mới cho vé VE1000012. Quan sát phản hồi API,MaVe: VE100001,API báo lỗi không cho phép đánh giá lại hoặc vé xe đã được đánh giá trước đó.,High,Gửi đánh giá trùng lặp trên một vé xe đã được đánh giá bị từ chối/nút bị disabled đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_REV_TC_013,Xem danh sách & bộ lọc,Medium,Happy Path - Xem danh sách đánh giá mặc định không có bộ lọc,Khách truy cập vào trang đánh giá.,1. Truy cập URL: /reviews2. Quan sát hiển thị danh sách đánh giá và phân trang,URL: /reviews,1. Hiển thị danh sách đánh giá sắp xếp theo thời gian mới nhất giảm dần.2. Hiển thị tối đa đúng 5 đánh giá trên một trang.3. Hiển thị thanh phân trang tiến/lùi.,Medium,Xem danh sách đánh giá mặc định không có bộ lọc hiển thị tối đa đúng 5 đánh giá/trang.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
