TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_POLICY_TC_001,Quản lý Chính sách,Medium,Happy Path - Thêm mới Chính sách Bảo hiểm thành công,Đăng nhập bằng tài khoản có quyền policy. Đang ở trang quản lý chính sách.,1. Click nút [Thêm mới] -> chọn [Chính sách Bảo hiểm] trong dropdown | 2. Nhập TieuDe: [Chính sách bảo hiểm hành trình an toàn 2026] | 3. Soạn thảo nội dung bằng WYSIWYG editor | 4. Chọn Ngày áp dụng: [01/06/2026] | 5. Click [Lưu chính sách],"TieuDe: ""Chính sách bảo hiểm hành trình an toàn 2026"" | LoaiChinhSach: ""insurance"" | NgayApDung: ""2026-06-01""",Lưu thành công. Chính sách mới xuất hiện trong danh sách với TrangThai = DangApDung. DB bảng CHINH_SACH có bản ghi mới. Log hệ thống ghi nhận hành động Thêm mới.,High,Thêm chính sách bảo hiểm mới thành công và hiện thông báo Đã thêm chính sách thành công!,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_002,Quản lý Chính sách,Medium,Happy Path - Thêm mới Chính sách Thanh toán thành công,Đăng nhập bằng tài khoản có quyền policy. Đang ở trang quản lý chính sách.,1. Click [Thêm mới] -> chọn [Chính sách Thanh toán] | 2. Nhập TieuDe | 3. Nhập nội dung | 4. Chọn Ngày áp dụng | 5. Click [Lưu chính sách],"TieuDe: ""Chính sách thanh toán trực tuyến 2026"" | LoaiChinhSach: ""payment"" | NgayApDung: ""2026-06-01""","Lưu thành công. DB bảng CHINH_SACH có bản ghi mới với LoaiChinhSach = ChinhSachThanhToan, TrangThai = DangApDung.",High,Thêm chính sách thanh toán mới thành công và hiện thông báo Đã thêm chính sách thành công!,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_003,Quản lý Chính sách,High,Happy Path - Thiết lập Chính sách Hủy vé với mốc hoàn tiền hợp lệ,Đăng nhập bằng tài khoản có quyền policy. Đang ở màn hình tạo chính sách hủy vé mới.,1. Click [Thêm mới] -> chọn [Chính sách Hủy vé] | 2. Nhập TenChinhSach | 3. Nhập Ngày áp dụng | 4. Tại bảng Mốc hoàn trả - thêm mốc và điền: GioiHanGioTruocKhoiHanh = 24 giờ; TyLeHoan = 100% | 5. Click [Lưu chính sách],"TenChinhSach: ""Chính sách hủy vé hè 2026"" | GioiHanGioTruocKhoiHanh: 24 | TyLePhiHuy: 1.0 (100%) | NgayApDung: ""2026-06-01""",Lưu thành công. DB bảng CHINH_SACH_HUY_VE có bản ghi mới với TrangThai = DangApDung và các trường số đúng giá trị.,High,Thêm chính sách hủy vé mới có mốc hoàn trả hợp lệ thành công và hiển thị Đã thêm chính sách hủy vé thành công!,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_004,Quản lý Chính sách,Medium,Happy Path - Chuyển trạng thái DangApDung → VoHieuHoa kèm Confirmation Dialog,Có chính sách chung ở trạng thái DangApDung. Đang ở form chỉnh sửa chính sách đó.,1. Mở form chỉnh sửa chính sách | 2. Click nút Toggle trạng thái | 3. Hệ thống hiển thị Confirmation Dialog [Xác nhận khóa chính sách] | 4. Click [Đồng ý],,Trạng thái chính sách chuyển sang VoHieuHoa. DB cập nhật TrangThai = NgungApDung. Log hệ thống ghi nhận thay đổi trạng thái.,High,Chuyển trạng thái chính sách từ hiển thị sang ngừng hiển thị thành công qua hộp thoại xác nhận.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_005,Quản lý Chính sách,Medium,Alternate Path - Hủy bỏ hành động thay đổi trạng thái qua Confirmation Dialog,Có chính sách chung ở trạng thái DangApDung. Đang ở form chỉnh sửa chính sách đó.,1. Mở form chỉnh sửa chính sách | 2. Click nút Toggle trạng thái | 3. Khi Confirmation Dialog xuất hiện click [Hủy bỏ],,Trạng thái chính sách được giữ nguyên DangApDung. Không có thay đổi nào được ghi vào DB.,Medium,Hủy bỏ hành động thay đổi trạng thái và chính sách giữ nguyên trạng thái hiển thị như cũ.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_006,Quản lý Chính sách,High,Happy Path - Chuyển trạng thái VoHieuHoa → DangApDung (kích hoạt lại),Có chính sách chung ở trạng thái VoHieuHoa. Đang ở form chỉnh sửa chính sách đó.,1. Mở form chỉnh sửa chính sách | 2. Click nút Toggle trạng thái | 3. Dialog hiển thị [Xác nhận kích hoạt chính sách] | 4. Click [Đồng ý],,Trạng thái chính sách chuyển về DangApDung. DB cập nhật TrangThai = DangApDung.,High,Kích hoạt lại chính sách thành công và cập nhật trạng thái hiển thị lại trên UI.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_007,Quản lý Chính sách,Medium,Validation - Lưu chính sách khi bỏ trống Tiêu đề,Đang ở modal thêm mới chính sách Bảo hiểm. Các trường khác đã điền đủ.,1. Để trống trường TieuDe | 2. Điền đầy đủ các trường còn lại | 3. Click [Lưu chính sách],"TieuDe: """" (rỗng)","Hệ thống hiển thị thông báo cảnh báo: ""Vui lòng nhập tên chính sách!"". Không lưu dữ liệu. Modal không đóng.",High,Cảnh báo Vui lòng nhập tên chính sách! hiển thị khi bỏ trống tiêu đề chính sách.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_008,Quản lý Chính sách,Medium,Validation - Lưu chính sách khi bỏ trống Ngày áp dụng,Đang ở modal thêm mới chính sách. TieuDe đã điền.,1. Điền TieuDe hợp lệ | 2. Để trống trường Ngày áp dụng | 3. Click [Lưu chính sách],"NgayApDung: """" (rỗng)","Hệ thống hiển thị cảnh báo: ""Ngày áp dụng không hợp lệ!"". Không lưu dữ liệu.",Medium,Cảnh báo Ngày áp dụng không hợp lệ! hiển thị khi để trống ngày áp dụng.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_009,Quản lý Chính sách,High,Validation - Lưu Chính sách Hủy vé khi không có mốc hoàn tiền nào,Đang ở modal tạo Chính sách Hủy vé. TieuDe và Ngày áp dụng đã điền.,1. Điền TieuDe và Ngày áp dụng | 2. Không thêm mốc nào trong bảng Mốc hoàn trả | 3. Click [Lưu chính sách],Milestones: [] (danh sách rỗng),"Hệ thống hiển thị cảnh báo: ""Vui lòng thêm ít nhất một mốc thời gian hủy vé!"". Không lưu.",High,Cảnh báo Vui lòng thêm ít nhất một mốc thời gian hủy vé! hiển thị khi không có milestones nào.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
TXP_ADMIN_POLICY_TC_010,Quản lý Chính sách,High,Validation - Mốc hoàn tiền có GioiHanGioTruocKhoiHanh = 0 hoặc âm,Đang ở modal tạo Chính sách Hủy vé. Đã thêm 1 mốc trong bảng.,1. Tại mốc 1: nhập GioiHanGioTruocKhoiHanh = 0 | 2. Nhập TyLeHoan = 100 | 3. Click [Lưu chính sách],GioiHanGioTruocKhoiHanh: 0 | TyLePhiHuy: 100,"Hệ thống hiển thị cảnh báo: ""Trước giờ khởi hành phải lớn hơn 0 Giờ!"". Không lưu.",High,Cảnh báo Trước giờ khởi hành phải lớn hơn 0 Giờ! hiển thị khi giờ bằng 0.,PASS,?? Th? Ph??ng,31/05/2026,Playwright,31/05/2026
