TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_DISPATCH_TC_001,Quản lý Điều hành,Medium,Happy Path - Khai báo Tuyến xe mới thành công,Có quyền điều hành. Đang ở trang khai báo tuyến xe.,"1. Chọn Điểm khởi hành: ""Bình Định""2. Chọn Điểm đến: ""TP. Hồ Chí Minh""3. Nhập Khoảng cách: ""650""4. Nhập Thời gian di chuyển dự kiến: ""10:00""5. Click ""Lưu tuyến xe""","Khởi hành: ""Bình Định"" | Điểm đến: ""TP. Hồ Chí Minh"" | Khoảng cách: 650 | Thời gian: ""10:00""",Lưu thành công. Tuyến xe mới hiển thị trong DB và xuất hiện trong danh sách Tuyến xe đang hoạt động.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_002,Quản lý Điều hành,Medium,Validation - Điểm khởi hành và Điểm đến trùng nhau,Đang thêm tuyến xe mới.,"1. Chọn Điểm khởi hành: ""Bình Định""2. Chọn Điểm đến: ""Bình Định""3. Click ""Lưu tuyến xe""","Khởi hành: ""Bình Định"" | Điểm đến: ""Bình Định""","Hệ thống báo lỗi validation: ""Điểm khởi hành và Điểm đến không được trùng nhau"" và chặn không cho lưu.",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_003,Quản lý Điều hành,Medium,Validation - Khoảng cách tuyến xe bằng 0 hoặc số âm,Đang thêm tuyến xe mới.,"1. Nhập Khoảng cách: ""-50""2. Click ""Lưu tuyến xe""",Khoảng cách: -50,"Báo lỗi validation: ""Khoảng cách phải là số dương lớn hơn 0"" và chặn lưu.",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_004,Quản lý Điều hành,High,Happy Path - Khai báo xe Limousine mới thành công,Đang ở màn hình quản lý phương tiện.,"1. Nhập Biển số xe: ""77B-012.34""2. Nhập Tên xe: ""TXP VIP Royal""3. Chọn Loại xe: ""Limousine 22 phòng""4. Chọn Hạn đăng kiểm: ""31/12/2026""5. Chọn Hạn bảo hiểm: ""31/12/2026""6. Click ""Lưu""","Biển số: ""77B-012.34"" | Loại: ""Limousine 22 phòng""","Khai báo phương tiện thành công, xe hiển thị trong danh sách xe đang hoạt động.",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_005,Quản lý Điều hành,High,Validation - Cảnh báo tự động xe quá Hạn đăng kiểm hoặc Bảo hiểm,Có xe 77B-001.02 trong hệ thống có hạn đăng kiểm là 15/05/2026 (quá hạn so với hiện tại).,1. Truy cập danh sách phương tiện2. Tìm xe 77B-001.02 và kiểm tra cảnh báo,N/A,"Hệ thống hiển thị icon cảnh báo đỏ hoặc thông báo trạng thái: ""Hết hạn đăng kiểm"" tại dòng của xe này.",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_006,Quản lý Điều hành,High,Business Rule - Chặn không cho phân lịch chạy đối với xe hết hạn đăng kiểm,Xe 77B-001.02 đã hết hạn đăng kiểm. Điều phối viên thực hiện thêm lịch trình chuyến chạy.,1. Vào màn hình Thêm lịch trình mới2. Mở Dropdown chọn Phương tiện3. Tìm kiếm xe 77B-001.02,N/A,"Xe 77B-001.02 bị loại bỏ/ẩn khỏi danh sách lựa chọn xe khả dụng, hoặc backend trả lỗi nếu cố tình gán: ""Thời hạn đăng kiểm của xe đã hết hạn"".",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_007,Quản lý Điều hành,High,Happy Path - Khai báo Hồ sơ tài xế mới thành công,Đang ở màn hình quản lý tài xế.,"1. Nhập Họ tên: ""Lê Văn Tám""2. Nhập CCCD: ""052098001234"", SĐT: ""0905123456""3. Chọn Hạng bằng lái: ""Hạng E"", Hạn bằng lái: ""30/05/2030"" (còn hạn)4. Tải lên ảnh chân dung, ảnh bằng lái5. Click ""Lưu""","Bằng lái: ""Hạng E"" | Hạn bằng: ""30/05/2030""",Khai báo thành công hồ sơ tài xế mới và lưu vào cơ sở dữ liệu.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_008,Quản lý Điều hành,High,Business Rule - Loại trừ tài xế có bằng lái hết hạn khỏi phân công lịch trình,Tài xế Nguyễn Văn B có bằng lái hết hạn ngày 10/05/2026 (quá hạn so với hiện tại).,1. Into màn hình Thêm lịch trình mới2. Mở dropdown chọn Tài xế chính3. Tìm tài xế Nguyễn Văn B,N/A,Tài xế Nguyễn Văn B bị loại trừ/không hiển thị trong danh sách tài xế khả dụng gán cho lịch trình chuyến chạy.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_009,Quản lý Điều hành,High,Happy Path - Tạo mới Lịch trình chuyến chạy thành công (không xung đột),Tuyến xe Bình Định - Sài Gòn đã được cấu hình. Xe 77B-012.34 và tài xế Lê Văn Tám rảnh lịch.,"1. Chọn Tuyến xe: ""Bình Định - TP. Hồ Chí Minh""2. Chọn Ngày khởi hành: ngày mai3. Nhập Giờ khởi hành: ""19:00"", Giờ đến dự kiến: ""05:00"" sáng hôm sau4. Chọn xe: ""77B-012.34""5. Chọn tài xế: ""Lê Văn Tám""6. Nhập Giá vé cơ bản: ""350000""7. Click ""Lưu lịch trình""","Tuyến: ""Bình Định - TP. Hồ Chí Minh"" | Xe: ""77B-012.34"" | Tài xế: ""Lê Văn Tám""","Tạo lịch trình thành công, trạng thái chuyến đi chuyển sang ""ChoKhoiHanh"".",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_DISPATCH_TC_010,Quản lý Điều hành,High,Business Rule - Chặn trùng lịch Phương tiện (xung đột khung giờ xe chạy),Xe 77B-012.34 đã được gán cho Lịch trình A (19:00 ngày 31/05 đến 05:00 ngày 01/06).,"1. Tạo Lịch trình B chạy từ 20:00 ngày 31/05 đến 06:00 ngày 01/062. Cố tình chọn xe: ""77B-012.34""3. Click ""Lưu lịch trình""","Phương tiện: ""77B-012.34""","Chặn lưu thành công. Backend hiển thị lỗi: ""Phương tiện này đã được gán cho một chuyến xe khác trong khung giờ này"".",High,Hệ thống chưa hỗ trợ ràng buộc chặn trùng lịch phương tiện (lịch trình mới vẫn được lưu thành công).,Failed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
