TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_NEWS_TC_001,Danh sách tin tức,Medium,Happy Path - Hiển thị trang danh sách mặc định đầy đủ bố cục phân vùng,Khách truy cập vào trang /tin-tuc. API trả về danh sách tin tức tổng hợp đầy đủ.,1. Quan sát cách phân vùng và bố cục trên giao diện trang chủ tin tức,URL: /tin-tuc,"1. Tin nổi bật (featuredNews) hiển thị 1 tin lớn (ảnh bìa cao 400px, tag danh mục, tiêu đề headline, mô tả ngắn line-clamp-2).2. Tin mới nhất (latestNews) hiển thị sidebar 3 tin mới nhất dạng list nhỏ.3. Tin phụ nổi bật (subFeaturedNews) hiển thị 2 tin dạng 2 cột.4. Section ""TẤT CẢ TIN TỨC"" hiển thị dạng lưới 2 cột.",Medium,"Hiển thị đầy đủ bố cục trang tin tức: Tin nổi bật, tin mới nhất, tin phụ nổi bật, lưới tất cả tin tức đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_002,Danh sách tin tức,Medium,Happy Path - Lọc tin tức theo danh mục và chuyển sang lưới đơn,Trang danh sách tin tức đang hiển thị đầy đủ layout mặc định.,"1. Click vào tab danh mục ""KHUYẾN MÃI""2. Quan sát sự thay đổi của layout và tab đang active",Tab click: KHUYẾN MÃI,"1. Tab ""KHUYẾN MÃI"" chuyển sang trạng thái active (viền dưới màu primary, chữ màu primary).2. Layout mặc định (featuredNews, latestNews, subFeaturedNews) bị ẩn hoàn toàn.3. Chỉ hiển thị lưới đơn danh sách tin tức thuộc loại KhuyenMai.4. Trình phân trang reset về trang 1.",Medium,"Click tab danh mục lọc danh sách tin theo danh mục, ẩn tin đặc biệt, reset phân trang về trang 1 đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_003,Danh sách tin tức,Medium,Happy Path - Bỏ lọc danh mục quay về trang danh sách mặc định,"Trang danh sách đang lọc theo tab danh mục ""SỰ KIỆN"" (tab đang active).","1. Click lại vào tab danh mục ""SỰ KIỆN"" đang hoạt động2. Quan sát sự thay đổi layout",Tab click: SỰ KIỆN,"1. Bỏ lọc danh mục.2. Layout quay lại mặc định đầy đủ (hiển thị featuredNews, latestNews, subFeaturedNews và lưới tổng).3. Các tab danh mục trở về trạng thái không active mặc định.",Medium,Click lại tab danh mục đang active bỏ lọc và phục hồi đầy đủ layout mặc định đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_004,Danh sách tin tức,Medium,Happy Path - Tự động reset ô tìm kiếm về rỗng khi đổi tab danh mục,"Trang danh sách đang hiển thị, ô tìm kiếm đã có từ khóa.","1. Nhập từ khóa ""Vé xe"" vào ô tìm kiếm2. Click chọn tab danh mục ""THÔNG BÁO""3. Quan sát ô tìm kiếm","Từ khóa: ""Vé xe"" | Tab chọn: THÔNG BÁO",1. Giá trị trong ô nhập tìm kiếm tự động reset về rỗng.2. Hệ thống gọi API lọc theo danh mục ThongBao.,Medium,Click đổi tab danh mục tự động reset giá trị trong ô tìm kiếm về rỗng đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_005,Tìm kiếm & Phân trang,Medium,Happy Path - Tìm kiếm tin tức theo từ khóa hoạt động realtime,Trang danh sách đang hiển thị.,"1. Nhấp vào ô tìm kiếm ở góc phải header2. Nhập từ khóa ""khuyen mai"" từ bàn phím và quan sát kết quả hiển thị","Từ khóa: ""khuyen mai""","1. API được gọi realtime theo ký tự nhập.2. Layout chuyển sang chế độ lưới đơn (allNews), ẩn các tin đặc biệt.3. Hiển thị danh sách tin tức có tiêu đề hoặc mô tả chứa từ khóa ""khuyen mai"".",Medium,"Nhập từ khóa tìm kiếm lọc tin tức realtime, chuyển sang lưới đơn và ẩn tin nổi bật đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_006,Tìm kiếm & Phân trang,Medium,Negative - Tìm kiếm không ra kết quả hiển thị trạng thái Empty State,Trang danh sách đang hiển thị.,"1. Nhập từ khóa không có trong hệ thống ""xyz123""2. Quan sát màn hình kết quả","Từ khóa: ""xyz123""","1. Màn hình hiển thị Empty State.2. Hiển thị icon tờ báo lớn (6xl).3. Tiêu đề: ""Không tìm thấy tin tức"".4. Mô tả: ""Vui lòng thử lại với từ khóa tìm kiếm hoặc danh mục khác.""",Medium,"Tìm kiếm không có kết quả hiển thị Empty State với tiêu đề ""Không tìm thấy tin tức"" và icon newspaper đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_007,Tìm kiếm & Phân trang,Medium,Happy Path - Phân trang hoạt động chính xác khi click số trang,Trang danh sách tin tức có totalPages > 1.,"1. Cuộn xuống cuối trang2. Click vào nút số trang ""2""3. Quan sát nội dung và trạng thái nút số trang",Nút click: Số trang 2,"1. Nội dung trang 2 được tải và hiển thị.2. Nút số trang ""2"" chuyển sang active (nền primary, chữ trắng).3. Nút số trang ""1"" không còn active.",Medium,"Click nút phân trang trang 2 tải đúng dữ liệu trang 2, nút trang 2 chuyển sang active đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_008,Tìm kiếm & Phân trang,Medium,Boundary - Kiểm tra nút phân trang trước (<) disable ở trang đầu tiên,Trang danh sách tin tức đang ở trang 1.,1. Cuộn xuống khu vực phân trang2. Quan sát nút mũi tên trái (<)3. Click vào nút mũi tên trái (<),Vị trí: Trang 1,1. Nút mũi tên trái (<) ở trạng thái disabled và giảm độ mờ (opacity-50).2. Click vào nút này không có phản ứng hay thay đổi trang.,Medium,Nút phân trang trước (<) bị disable ở trang 1 đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_009,Tìm kiếm & Phân trang,Medium,Boundary - Kiểm tra nút phân trang sau (>) disable ở trang cuối cùng,Trang danh sách tin tức đang ở trang cuối cùng (Ví dụ: Trang 5).,1. Cuộn xuống khu vực phân trang ở trang cuối cùng2. Quan sát nút mũi tên phải (>)3. Click vào nút mũi tên phải (>),Vị trí: Trang cuối (Trang 5),1. Nút mũi tên phải (>) ở trạng thái disabled và opacity-50.2. Click vào nút này không thay đổi trang.,Medium,Nút phân trang sau (>) bị disable ở trang cuối đúng.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_NEWS_TC_010,Tìm kiếm & Phân trang,Medium,Boundary - Thuật toán hiển thị số trang khi tổng số trang nhỏ hơn hoặc bằng 5,Hệ thống có tổng số 4 trang tin tức.,1. Quan sát thanh phân trang ở cuối danh sách,Total pages: 4,Hiển thị đầy đủ tất cả các nút số trang: [1] [2] [3] [4] không có dấu ba chấm (...).,Medium,Thanh phân trang hiển thị đầy đủ số trang khi tổng số trang <= 5 không hiển thị dấu ba chấm.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
