TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_BK_TC_001,Giữ ghế tạm thời,High,Happy Path - Khách hàng giữ ghế trống hợp lệ thành công,"Lịch trình LT9999 có các ghế A1, A2 ở trạng thái 'Trong' (trống).","1. Chọn ghế A1, A2 trên sơ đồ ghế | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats","MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [A1, A2]","1. API trả về status 200/201, message: 'Giữ ghế tạm thời thành công trong 10 phút!' | 2. Trạng thái ghế A1, A2 trong DB cập nhật sang 'GiuCho' | 3. ThoiGianCapNhatTrangThai được ghi nhận là thời điểm hiện tại.",High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_002,Giữ ghế tạm thời,High,Negative - Giữ ghế đang bị giữ bởi người khác và còn hiệu lực (dưới 10 phút),Ghế A1 của lịch trình LT9999 đang ở trạng thái 'GiuCho' và ThoiGianCapNhatTrangThai là 5 phút trước (còn hiệu lực).,1. Khách hàng khác chọn ghế A1 | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats,MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [A1],1. API trả về status 400 Bad Request | 2. Message lỗi: 'Ghế A1 đã có người giữ hoặc đã được bán!' | 3. Trạng thái ghế A1 trong DB giữ nguyên 'GiuCho'.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_003,Giữ ghế tạm thời,High,Negative - Giữ ghế đã được bán thành công,Ghế A3 của lịch trình LT9999 đang ở trạng thái 'DaBan' trong DB.,1. Chọn ghế A3 trên sơ đồ ghế | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats,MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [A3],1. API trả về status 400 Bad Request | 2. Message lỗi: 'Ghế A3 đã có người giữ hoặc đã được bán!' | 3. Trạng thái ghế A3 trong DB giữ nguyên 'DaBan'.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_004,Giữ ghế tạm thời,High,Negative - Giữ ghế không tồn tại trong lịch trình chuyến xe,Lịch trình LT9999 không có ghế nào tên là 'B99'.,1. Gửi mã ghế không tồn tại 'B99' | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats,MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [B99],1. API trả về status 404 Not Found | 2. Message lỗi: 'Một số ghế được chọn không tồn tại trong chuyến xe này!',High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_005,Giữ ghế tạm thời,High,Alternate Path - Giữ lại ghế đã hết hạn giữ chỗ (trên 10 phút),"Ghế A1 của lịch trình LT9999 đang ở trạng thái 'GiuCho', ThoiGianCapNhatTrangThai cách đây 20 phút (quá hạn 10 phút).",1. Chọn ghế A1 trên sơ đồ | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats,MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [A1],1. API trả về status 200/201 thành công | 2. Trạng thái ghế A1 cập nhật sang 'GiuCho' mới với ThoiGianCapNhatTrangThai là thời điểm hiện tại.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_006,Giữ ghế tạm thời,High,Validation - Gọi API giữ ghế khi bỏ trống thông tin bắt buộc,Lịch trình đang hiển thị.,1. Gọi API hold-seats với DanhSachMaGheChuyen rỗng hoặc MaLichTrinh rỗng,MaLichTrinh: (Rỗng) | DanhSachMaGheChuyen: [],1. API trả về status 400 Bad Request | 2. Trả về thông tin lỗi validation chi tiết cho các trường bắt buộc.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_007,Giữ ghế tạm thời,High,Edge Case - Giữ đồng thời nhiều ghế trong đó có một ghế đã bị bán,"Lịch trình LT9999 có ghế A1 đang trống ('Trong'), ghế A2 đã ở trạng thái 'DaBan'.",1. Chọn cả hai ghế A1 và A2 | 2. Gọi API POST /customer/thong-tin-don-hang/hold-seats,"MaLichTrinh: LT9999 | DanhSachMaGheChuyen: [A1, A2]",1. API trả về status 400 Bad Request | 2. Message lỗi: 'Ghế A2 đã có người giữ hoặc đã được bán!' | 3. Ghế A1 vẫn giữ nguyên trạng thái 'Trong' (không bị chuyển sang GiuCho do giao dịch thất bại).,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_008,Tự động giải phóng ghế,High,Happy Path - Cron job tự động giải phóng ghế quá hạn 10 phút chưa thanh toán,"Ghế A1 của lịch trình LT9999 có trạng thái 'GiuCho', ThoiGianCapNhatTrangThai là 11 phút trước. Ghế chưa liên kết với đơn hàng thành công nào.",1. Chờ cron job của hệ thống quét qua (mỗi 60 giây) | 2. Kiểm tra trạng thái ghế A1 trong DB,Ghế A1 | ThoiGianCapNhatTrangThai: 11 phút trước,1. Ghế A1 tự động chuyển từ 'GiuCho' về 'Trong' | 2. Hệ thống ghi log giải phóng ghế thành công.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_009,Tự động giải phóng ghế,High,Happy Path - Cron job tự động hủy đơn hàng ChoThanhToan khi ghế tương ứng hết hạn,Đơn hàng DH10000001 ở trạng thái 'ChoThanhToan' chứa ghế A1. Ghế A1 đã quá hạn giữ chỗ 10 phút.,1. Chờ cron job quét qua | 2. Kiểm tra trạng thái đơn hàng DH10000001 và vé điện tử liên quan,Đơn hàng: DH10000001 | Ghế: A1 (quá hạn 10 phút),1. Đơn hàng DH10000001 tự động chuyển sang 'DaHuy' | 2. Tất cả vé điện tử liên kết chuyển sang 'DaHuy' | 3. Hệ thống ghi log: 'Hệ thống tự động hủy đơn hàng DH10000001 do hết hạn 10 phút chưa thanh toán.',High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
TXP_BK_TC_010,Tự động giải phóng ghế,High,Boundary - Ghế ở trạng thái GiuCho sát biên giới hạn 10 phút (9 phút 59 giây),"Ghế A1 của lịch trình LT9999 có trạng thái 'GiuCho', ThoiGianCapNhatTrangThai là 9 phút 59 giây trước.",1. Chờ cron job quét qua | 2. Kiểm tra trạng thái ghế A1 trong DB,Ghế A1 | ThoiGianCapNhatTrangThai: 9 phút 59 giây trước,1. Ghế A1 vẫn giữ nguyên trạng thái 'GiuCho' (không bị giải phóng về Trong) | 2. Đơn hàng liên quan vẫn giữ trạng thái 'ChoThanhToan'.,High,Hệ thống hoạt động đúng như mong đợi. Các chức năng và giao diện hiển thị chính xác.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,
