TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_NEWS_TC_001,Quản lý Tin tức,High,Happy Path - Tạo bài viết mới ở trạng thái Bản nháp (BanNhap),Đã đăng nhập tài khoản có quyền 'news'. Đang ở trang quản lý tin tức.,1. Click nút 'Thêm bài viết' | 2. Nhập MaTinTuc: 'TT_TEST_001' | 3. Nhập TieuDe: 'Hướng dẫn cài đặt App đặt vé TXP mới tạo' | 4. Chọn LoaiTinTuc: 'HuongDan' | 5. Nhập MoTaNgan | 6. Nhập NoiDungChiTiet | 7. Chọn TrangThai: 'BanNhap' | 8. Click 'Lưu bài viết',MaTinTuc: 'TT_TEST_001' | TieuDe: 'Hướng dẫn cài đặt App đặt vé TXP mới tạo' | LoaiTinTuc: 'HuongDan' | TrangThai: 'BanNhap',API POST /tin-tuc trả về 201. Bài viết lưu thành công với TrangThai='BanNhap'. NgayDang có thể null. Bài viết KHÔNG hiển thị trên Portal khách hàng. Nhật ký hệ thống ghi nhận thao tác tạo bài.,High,"Tạo bài viết mới thành công ở trạng thái Bản nháp (BanNhap), modal ẩn đi chính xác.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_002,Quản lý Tin tức,High,Happy Path - Tạo bài viết mới ở trạng thái Đã đăng (DaDang),Đã đăng nhập tài khoản có quyền 'news'.,1. Click 'Thêm bài viết' | 2. Nhập đầy đủ thông tin hợp lệ | 3. Chọn TrangThai: 'DaDang' | 4. Click 'Lưu bài viết',TieuDe: 'Khuyến mãi hè 2026 cùng TXP mới tạo' | TrangThai: 'DaDang',Bài viết lưu thành công với TrangThai='DaDang'. Bài viết hiển thị công khai trên Portal khách hàng.,High,"Tạo bài viết mới thành công ở trạng thái Đã đăng (DaDang), modal ẩn đi chính xác.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_003,Quản lý Tin tức,High,Happy Path - Tạo bài viết với LoaiTinTuc là 'TinTuc' (frontend) ánh xạ đúng sang 'TinTucChung' (backend),Đã đăng nhập tài khoản có quyền 'news'.,1. Tạo bài viết | 2. Chọn LoaiTinTuc = 'TinTuc' (hiển thị trên UI) | 3. Click 'Lưu bài viết' | 4. Gọi GET /tin-tuc/:id để kiểm tra kết quả trả về,LoaiTinTuc truyền lên: 'TinTuc',Backend lưu LoaiTinTuc = 'TinTucChung' vào DB. API GET trả về LoaiTinTuc = 'TinTuc' (do mapToFrontend chuyển ngược). Không lỗi 400/500.,High,Tạo bài viết thành công với Loại tin tức ánh xạ đúng sang TinTucChung ở backend.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_004,Quản lý Tin tức,High,Happy Path - Tạo bài viết với trường ảnh bìa (AnhBia) hợp lệ,Đã đăng nhập tài khoản có quyền 'news'. Có URL ảnh hợp lệ.,1. Tạo bài viết | 2. Nhập URL ảnh bìa hợp lệ vào AnhBia | 3. Lưu bài viết | 4. Kiểm tra bài viết đã lưu,AnhBia: 'https://storage.example.com/cover.jpg',Bài viết lưu thành công kèm AnhBia. API GET trả về trường AnhBia đúng URL.,Medium,Tạo bài viết thành công kèm URL ảnh bìa hợp lệ.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_005,Quản lý Tin tức,High,Validation - Để trống TieuDe khi lưu bài viết,Đang ở form thêm bài viết.,1. Để trống trường TieuDe | 2. Điền đầy đủ các trường khác | 3. Click 'Lưu bài viết',TieuDe: '' (rỗng),"Hệ thống chặn submit ở phía UI (nút disabled hoặc hiện lỗi inline). Lưu ý: backend KHÔNG có validation TieuDe — nếu gọi API trực tiếp không truyền TieuDe, Prisma sẽ throw lỗi do trường NOT NULL. Kiểm tra cả 2 tầng.",High,Hệ thống hiển thị thông báo lỗi inline chính xác khi bỏ trống Tiêu đề.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_007,Quản lý Tin tức,High,"Happy Path - Tạo bài viết với LoaiTinTuc là HenGio, có NgayGioHenGio trong tương lai",Đã đăng nhập. Ngày hiện tại 30/05/2026 14:00.,1. Tạo bài viết | 2. Chọn TrangThai: 'HenGio' | 3. Nhập NgayGioHenGio: '2026-06-01T08:00:00' (tương lai) | 4. Lưu bài viết,TrangThai: 'HenGio' | NgayGioHenGio: '2026-06-01T08:00:00',Bài viết lưu thành công với TrangThai='HenGio' và NgayGioHenGio đúng. Bài viết CHƯA hiển thị trên Portal. Lưu ý: backend KHÔNG tự động đổi trạng thái sang DaDang khi đến giờ — không có cron job trong source code. Cần xác nhận tính năng này được xử lý bởi cơ chế khác (nếu có).,High,Tạo bài viết hẹn giờ đăng thành công với thời gian hẹn giờ trong tương lai.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_008,Quản lý Tin tức,Medium,Validation - TrangThai 'HenGio' nhưng NgayGioHenGio trong quá khứ (validation frontend),Đang ở form thêm bài viết. Ngày hiện tại là 30/05/2026 14:00.,1. Chọn TrangThai: 'HenGio' | 2. Nhập NgayGioHenGio: '29/05/2026 10:00' (quá khứ) | 3. Click 'Lưu bài viết',TrangThai: 'HenGio' | NgayGioHenGio: '2026-05-29T10:00:00' (quá khứ),"Hệ thống UI chặn submit và hiển thị validation lỗi. Lưu ý: backend KHÔNG validate NgayGioHenGio — nếu gọi API trực tiếp, bài viết VẪN được lưu với ngày quá khứ mà không báo lỗi. Chỉ frontend mới chặn.",High,Hệ thống hiển thị thông báo lỗi khi TrangThai là HenGio nhưng thời gian hẹn giờ ở quá khứ.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_009,Quản lý Tin tức,High,Happy Path - Cập nhật toàn bộ thông tin bài viết (PUT),Bài viết TT_TEST_001 đã tồn tại.,"1. Gọi API PUT /tin-tuc/TT_TEST_001 với TieuDe mới, LoaiTinTuc mới | 2. Gọi GET /tin-tuc/TT_TEST_001 kiểm tra",TieuDe: 'Tiêu đề đã cập nhật' | LoaiTinTuc: 'KhuyenMai',API trả về 200. Thông tin bài viết được cập nhật đúng. Nhật ký ghi nhận thay đổi TieuDe và LoaiTinTuc với giá trị cũ/mới.,High,Cập nhật thành công toàn bộ thông tin bài viết qua phương thức PUT.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_010,Quản lý Tin tức,High,Happy Path - Chỉ cập nhật trạng thái bài viết sang DaDang (PATCH /trang-thai) — NgayDang tự động cập nhật,Bài viết TT_TEST_001 đang ở trạng thái BanNhap.,1. Gọi API PATCH /tin-tuc/TT_TEST_001/trang-thai với body { trangThai: 'DaDang' } | 2. Gọi GET /tin-tuc/TT_TEST_001 kiểm tra NgayDang,trangThai: 'DaDang',TrangThai chuyển sang 'DaDang'. NgayDang được tự động set = thời điểm gọi API (new Date()). Đây là side effect quan trọng của updateTrangThai() khi trangThai='DaDang'. Nhật ký ghi nhận thay đổi trạng thái.,High,"Chỉ cập nhật trạng thái bài viết sang DaDang thành công, NgayDang tự động cập nhật.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_NEWS_TC_011,Quản lý Tin tức,High,Happy Path - Chuyển trạng thái sang NgungHienThi — NgayDang KHÔNG thay đổi,"Bài viết TT_TEST_001 đang ở trạng thái DaDang, có NgayDang.",1. Gọi PATCH /tin-tuc/TT_TEST_001/trang-thai với body { trangThai: 'NgungHienThi' } | 2. Kiểm tra NgayDang,trangThai: 'NgungHienThi',TrangThai chuyển sang 'NgungHienThi'. NgayDang giữ nguyên giá trị cũ (không bị overwrite). Bài viết biến mất khỏi Portal khách hàng. Nhật ký ghi nhận.,High,"Chuyển trạng thái bài viết sang NgungHienThi thành công, NgayDang không thay đổi.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
