TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_TICKETS_TC_001,Quản lý Vé,High,Happy Path - Đặt vé tại quầy thanh toán bằng Tiền mặt (trạng thái Chờ thanh toán),Có quyền ticket.sell. Đang ở màn hình đặt vé mới. Chuyến xe còn trống cabin A1.,"1. Chọn Tuyến đi, Ngày đi | 2. Chọn ghế cabin VIP: 'A1' | 3. Chọn phương thức thanh toán: 'TienMat' (không truyền trangThai) | 4. Click 'Xác nhận đặt vé'",phuongThucThanhToan: 'TienMat' | maGheChuyenList: ['A1'] | trangThai: (không truyền),"Đơn hàng và vé được tạo. TrangThaiVe = 'ChoThanhToan', TrangThaiDonHang = 'ChoThanhToan'. Ghế A1 chuyển sang 'DaBan'. Chưa có bản ghi THANH_TOAN.",High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_002,Quản lý Vé,High,Happy Path - Đặt vé tại quầy thanh toán bằng Tiền mặt (trạng thái ChoKhoiHanh - đã nhận tiền ngay),Có quyền ticket.sell. Ghế A2 còn trống. trangThai được set sẵn là 'ChoKhoiHanh'.,1. Chọn ghế 'A2' | 2. Chọn 'TienMat' | 3. Truyền trangThai = 'ChoKhoiHanh' | 4. Gọi API POST /quan-ly-ve/tao-don-hang,phuongThucThanhToan: 'TienMat' | trangThai: 'ChoKhoiHanh',"Vé tạo với TrangThaiVe = 'ChoKhoiHanh'. Hệ thống TỰ ĐỘNG tạo bản ghi THANH_TOAN với LoaiGiaoDich='ThanhToan', TrangThaiGiaoDich='ThanhCong'. Ghế A2 DaBan.",High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_003,Quản lý Vé,High,Happy Path - Đặt vé tại quầy thanh toán bằng VietQR,Có quyền ticket.sell. Ghế A3 còn trống.,1. Chọn ghế 'A3' | 2. Chọn 'VietQR' | 3. Click 'Xác nhận đặt vé',phuongThucThanhToan: 'VietQR',Vé tạo với TrangThaiVe = 'ChoKhoiHanh' (vì VietQR không phải TienMat). KHÔNG tạo bản ghi THANH_TOAN tự động. Giao diện hiển thị mã VietQR.,High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_004,Quản lý Vé,Medium,Validation - Đặt vé khi chọn ghế đã bị bán (TrangThaiGhe != 'Trong'),Ghế 'B1' có TrangThaiGhe = 'DaBan'.,1. Chọn ghế 'B1' đã bán | 2. Gọi API POST /quan-ly-ve/tao-don-hang,maGheChuyenList: ['B1'] (ghế đã DaBan),API trả về lỗi 400 BadRequest: 'Ghế B1 không còn trống.',High,Passed (Flaky) - Hoat dong dung sau khi retry,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_005,Quản lý Vé,Medium,Validation - Đặt vé khi không chọn ghế nào (maGheChuyenList rỗng),Có quyền ticket.sell.,1. Gọi API POST /quan-ly-ve/tao-don-hang với maGheChuyenList = [],maGheChuyenList: [],API trả về lỗi 400 BadRequest: 'Vui lòng chọn ít nhất một ghế.',High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_006,Quản lý Vé,Medium,Validation - Đặt vé khi thiếu maLichTrinh,Có quyền ticket.sell.,1. Gọi API POST /quan-ly-ve/tao-don-hang không truyền maLichTrinh,maLichTrinh: (để trống),API trả về lỗi 400 BadRequest: 'Thiếu mã lịch trình.',High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_007,Quản lý Vé,Medium,Validation - Đặt vé khi maLichTrinh không tồn tại trong hệ thống,Có quyền ticket.sell.,1. Gọi API POST /quan-ly-ve/tao-don-hang với maLichTrinh = 'LTXXX999',maLichTrinh: 'LTXXX999',API trả về lỗi 404 NotFound: 'Không tìm thấy lịch trình!',High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_008,Quản lý Vé,High,Happy Path - Xác nhận thu tiền mặt cho vé đang Chờ thanh toán,Vé VE100001 có TrangThaiVe = 'ChoThanhToan'. Đơn hàng chứa vé ở trạng thái ChoThanhToan.,1. Nhân viên click nút 'Xác nhận thu tiền mặt' | 2. Gọi API POST /quan-ly-ve/ve/VE100001/xac-nhan-thu-tien,Vé: VE100001 | TrangThaiVe hiện tại: ChoThanhToan,Tất cả vé trong đơn hàng đó chuyển TrangThaiVe = 'ChoKhoiHanh'. Đơn hàng chuyển TrangThaiDonHang = 'ChoKhoiHanh'. Tạo bản ghi LICH_SU_VE với HanhDong='Xác nhận thu tiền mặt'.,High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_009,Quản lý Vé,Medium,Happy Path - Tìm kiếm vé theo Số điện thoại khách hàng,Khách hàng Phan Thị Trang (SĐT: 0912345678) đã đặt vé thành công.,1. Nhập SĐT '0912345678' vào ô tìm kiếm | 2. Nhấn Enter hoặc click Tìm kiếm,SĐT: '0912345678',Danh sách vé chỉ hiển thị các vé thuộc khách hàng Phan Thị Trang (SĐT 0912345678).,High,Passed - Hoat dong dung mong doi,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_TICKETS_TC_010,Quản lý Vé,Medium,Happy Path - Lọc vé theo Trạng thái thanh toán 'Đã thanh toán',Hệ thống có vé ở nhiều trạng thái thanh toán khác nhau.,1. Chọn bộ lọc Trạng thái: 'Đã thanh toán' | 2. Click lọc,Trạng thái: 'Đã thanh toán',Danh sách chỉ hiển thị vé có trangThaiThanhToan = 'Đã thanh toán'.,High,Passed (Flaky) - Hoat dong dung sau khi retry,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
