TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_POL_TC_001,Chính sách & Quy định,Medium,Happy Path - Hiển thị danh sách chính sách mặc định từ dữ liệu API thành công,Khách truy cập vào trang /gioi-thieu/chinh-sach. API GET /customer/chinh-sach và GET /customer/chinh-sach-huy-ve phản hồi mã 200 có dữ liệu.,1. Quan sát sidebar bên trái và nội dung hiển thị bên phải,URL: /gioi-thieu/chinh-sach,1. Sidebar hiển thị đầy đủ danh sách các tab danh mục chính sách.2. Tab đầu tiên trong danh sách được active mặc định.3. Nội dung cột bên phải hiển thị chi tiết các mục điều khoản của chính sách đang active.,Medium,"Sidebar hiển thị đầy đủ 5 tab chính sách mặc định, tab đầu tiên được active mặc định, nội dung cột bên phải hiển thị chi tiết điều khoản tương ứng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_002,Chính sách & Quy định,Medium,Alternate Path - API trả về rỗng hiển thị dữ liệu fallback tĩnh,Khách truy cập vào trang /gioi-thieu/chinh-sach. Cả hai API chính sách trả về mảng rỗng [] hoặc lỗi 500.,1. Quan sát danh sách tab chính sách hiển thị trên sidebar bên trái,API response: rỗng hoặc lỗi,"1. Hệ thống tự động chuyển sang hiển thị 5 nhóm chính sách mặc định (fallback): Chinh sách thanh toán, chỉnh sửa vé, hủy vé, cam kết dịch vụ, bảo mật dữ liệu.2. Không có lỗi crash trang trên Console.",Medium,"Hệ thống tự động sử dụng 5 nhóm chính sách mặc định khi API trả về rỗng, trang load bình thường không crash.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_003,Chính sách & Quy định,Medium,Happy Path - Điều hướng chuyển tab chính sách cập nhật nội dung đúng,"Khách đang xem trang chính sách, tab đầu tiên đang active.","1. Click vào tab ""Chính sách hủy vé & Hoàn tiền"" trên sidebar2. Quan sát sự thay đổi của tab và nội dung hiển thị bên phải",Tab click: Chính sách hủy vé & Hoàn tiền,"1. Tab ""Chính sách hủy vé & Hoàn tiền"" chuyển sang trạng thái active (nền primary-light, chữ primary, viền trái 4px màu primary).2. Nội dung bên phải cập nhật hiển thị chính xác các mục thuộc chính sách hủy vé.3. Tab active trước đó trở về trạng thái bình thường.",Medium,"Chuyển tab thành công, hiển thị chính xác nội dung chính sách hủy vé & hoàn tiền.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_004,Chính sách & Quy định,Medium,Alternate Path - Click chuyển tab tự động cuộn mượt lên đầu trang,Khách đang cuộn xem nội dung chính sách xuống gần cuối trang.,"1. Click vào một tab bất kỳ khác trên sidebar (Ví dụ: ""Chính sách bảo mật dữ liệu"")2. Quan sát vị trí cuộn trang",Tab click: Chính sách bảo mật dữ liệu,Trang tự động thực hiện cuộn mượt mà (smooth scroll) lên trên đầu trang (window.scrollTo top).,Medium,Trang tự động thực hiện cuộn lên trên đầu trang mượt mà sau khi chuyển tab.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_005,Chính sách & Quy định,Medium,UI - Hover tab chính sách không active đổi màu nền,"Trang chính sách hiển thị, có các tab đang ở trạng thái không active.",1. Di chuột (hover) qua một tab không active trên sidebar2. Quan sát sự thay đổi màu sắc tab,Hành động: Hover tab,Màu nền của tab chuyển sang màu surface-container-low để phản hồi tương tác người dùng.,Medium,Màu nền tab chuyển sang màu surface-container-low khi hover thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_006,Chính sách & Quy định,Medium,Happy Path - Tìm kiếm nhanh theo tiêu đề chính sách,Trang chính sách đang hiển thị nội dung.,"1. Nhấp vào ô tìm kiếm nhanh ""Tìm nhanh..."" bên phải tiêu đề2. Nhập từ khóa tìm kiếm ""huy ve""3. Quan sát các chính sách hiển thị","Từ khóa: ""huy ve"" (không viết hoa)","Hệ thống tự động lọc và hiển thị chính xác chính sách có tiêu đề chứa ""hủy vé"" (không phân biệt hoa thường).",Medium,Tìm kiếm và lọc chính xác chính sách theo tiêu đề.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_007,Chính sách & Quy định,Medium,Happy Path - Tìm kiếm nhanh theo nội dung điều khoản chính sách,Trang chính sách đang hiển thị nội dung.,"1. Nhấp vào ô tìm kiếm nhanh2. Nhập từ khóa nằm trong nội dung chi tiết điều khoản ""boi thuong""3. Quan sát các chính sách hiển thị","Từ khóa: ""boi thuong""","Hệ thống lọc và hiển thị chính xác các chính sách có chứa từ khóa ""bồi thường"" trong nội dung các điều khoản.",Medium,Tìm kiếm và lọc chính xác các chính sách theo từ khóa nội dung điều khoản.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_008,Chính sách & Quy định,Medium,Negative - Tìm kiếm từ khóa không tồn tại trả về kết quả rỗng,Trang chính sách đang hiển thị nội dung.,"1. Nhập từ khóa không có trong nội dung chính sách ""xyz123""2. Quan sát vùng nội dung chính hiển thị","Từ khóa: ""xyz123""",Không hiển thị chính sách nào trong khu vực nội dung chính (hiển thị vùng trống).,Medium,Tìm kiếm từ khóa không tồn tại hiển thị vùng nội dung trống thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_009,Chính sách & Quy định,Medium,UI - Định dạng nội dung điều khoản timeline có dấu hai chấm (:),"Trang chính sách hiển thị mục điều khoản: ""Điều kiện áp dụng: Vé phải được mua trước ít nhất...""",1. Quan sát kiểu định dạng văn bản hiển thị của mục này,"Dữ liệu: Chứa ký tự "":""","1. Phần chữ trước dấu "":"" (""Điều kiện áp dụng"") được in đậm màu navy.2. Phần chữ sau dấu "":"" ("" Vé phải được mua trước ít nhất..."" hiển thị ở định dạng text thường màu on-surface.3. Số thứ tự hiển thị trong vòng tròn nền primary/10, chữ primary.",Medium,"Phần trước dấu hai chấm hiển thị in đậm màu navy, phần sau là text thường, số thứ tự nằm trong vòng tròn primary/10.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_010,Chính sách & Quy định,Medium,Alternate Path - Định dạng nội dung điều khoản không chứa dấu hai chấm,Trang chính sách hiển thị mục điều khoản không có dấu hai chấm (:).,1. Quan sát định dạng của mục này trên vùng hiển thị,"Dữ liệu: Không chứa ký tự "":""",Toàn bộ nội dung điều khoản được hiển thị ở định dạng text thường màu on-surface (không có phần in đậm).,Medium,Các nội dung không chứa dấu hai chấm hiển thị text thường màu on-surface thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_011,Chính sách & Quy định,Medium,UI - Các mục điều khoản hiển thị hiệu ứng timeline kết nối và animation,Trang chính sách hiển thị danh sách các mục điều khoản.,1. Quan sát cấu trúc dọc nối các mục điều khoản2. Load lại trang và quan sát hiệu ứng hiển thị,Giao diện: Timeline,1. Có đường kẻ dọc nối giữa các vòng tròn số thứ tự (trừ mục cuối cùng).2. Các mục hiển thị hiệu ứng hoạt họa fade-in + slide-in-from-bottom nhẹ với thời gian trễ tăng dần 100ms cho từng mục.,Medium,Hiển thị đường kẻ dọc timeline và hiệu ứng hoạt họa fade-in trượt nhẹ thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_012,Chính sách & Quy định,Medium,UI - Kiểm tra hiển thị thông tin hỗ trợ cố định cuối trang,Trang chính sách đang hiển thị.,1. Cuộn xuống cuối vùng nội dung chính sách2. Kiểm tra thông tin hiển thị của khu vực hỗ trợ khách hàng,"Các thông tin: Hotline, Email, Nút chat","Hiển thị chính xác các thông tin: tiêu đề ""Bạn vẫn còn thắc mắc về chính sách?"", Hotline ""1900 1234"" kèm icon điện thoại, Email ""hotro@tanxuanphuc.vn"" kèm icon email, và nút ""Chat ngay với chúng tôi"".",Medium,"Khu vực hỗ trợ cuối trang hiển thị đầy đủ tiêu đề, hotline, email và nút Chat ngay.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_013,Chính sách & Quy định,Medium,UI - Click nút Chat ngay với chúng tôi mở cửa sổ chat hỗ trợ,"Trang chính sách hiển thị, phần hỗ trợ cuối trang đã load.","1. Click vào nút ""Chat ngay với chúng tôi""2. Quan sát hành động hệ thống",Nút click: Chat ngay với chúng tôi,Mở cửa sổ chat trực tuyến hỗ trợ khách hàng (mở widget chatbox hoặc liên kết chat ngoài).,Medium,Click nút mở cửa sổ chat hỗ trợ thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_014,Trang giới thiệu,Low,Happy Path - Truy cập trang Giới thiệu hiển thị đầy đủ các section,Khách truy cập vào trang giới thiệu công ty /gioi-thieu/ve-chung-toi.,1. Kiểm tra hiển thị các khu vực trên trang,URL: /gioi-thieu/ve-chung-toi,"Trang hiển thị đầy đủ thông tin: Hero section (hình nền xe khách, tiêu đề, nút tương tác), phần Giới thiệu công ty lịch sử 15 năm, 4 giá trị cốt lõi, và mục Tầm nhìn phát triển 2030.",Low,Trang Giới thiệu hiển thị đầy đủ các section theo thiết kế.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_POL_TC_015,Trang giới thiệu,Low,Happy Path - Nút Đặt vé ngay điều hướng về trang chủ,Trang giới thiệu /gioi-thieu/ve-chung-toi đang hiển thị.,"1. Tại Hero section, click vào nút ""Đặt vé ngay""2. Quan sát URL trang mới",Nút click: Đặt vé ngay,Hệ thống điều hướng thành công về trang chủ /home.,Low,Điều hướng về trang chủ /home thành công khi click nút Đặt vé ngay.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
