TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_FP_TC_001,Bước 1 - Nhập SĐT,High,Happy Path - Nhập SĐT hợp lệ đã đăng ký chuyển sang Bước 2,Modal Quên mật khẩu đang hiển thị ở Bước 1. SĐT 0912345678 đã đăng ký trong hệ thống.,"1. Nhập SĐT vào ô nhập liệu2. Click nút ""Gửi mã xác thực""",SĐT: 0912345678,"1. Chuyển sang Bước 2 (Nhập mã xác thực).2. Thông báo hiển thị: ""Mã xác thực đã được gửi về số 0912345678.""3. Đồng hồ đếm ngược bắt đầu chạy từ 03:00 (180 giây).4. Không có thông báo lỗi inline nào.",High,Nhập SĐT hợp lệ đã đăng ký chuyển đổi sang Bước 2 thành công và kích hoạt bộ đếm thời gian.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_002,Bước 1 - Nhập SĐT,High,Negative - Nhập SĐT chưa đăng ký hiển thị lỗi,Modal Quên mật khẩu đang hiển thị ở Bước 1. SĐT 0988888888 chưa được đăng ký trong hệ thống.,"1. Nhập SĐT vào ô nhập liệu2. Click nút ""Gửi mã xác thực""",SĐT: 0988888888,"1. Không chuyển bước.2. Hiển thị lỗi inline bên dưới ô nhập: ""Số điện thoại này chưa được đăng ký.""",High,"Hiển thị lỗi inline: ""Số điện thoại này chưa được đăng ký."" khi nhập SĐT chưa đăng ký.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_003,Bước 1 - Nhập SĐT,High,Negative - SĐT sai định dạng: chứa ký tự chữ,Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Nhập SĐT chứa chữ2. Click nút ""Gửi mã xác thực"" hoặc quan sát validation",SĐT: 0912abc345,"1. Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số.""2. Không cho phép gửi request API.",High,"Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số."" khi SĐT chứa ký tự.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_004,Bước 1 - Nhập SĐT,High,Negative - SĐT sai định dạng: thiếu số (chỉ có 9 chữ số),Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Nhập SĐT 9 chữ số2. Click nút ""Gửi mã xác thực""",SĐT: 091234567,"1. Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số.""2. Không chuyển sang Bước 2",High,"Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số."" khi SĐT thiếu chữ số.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_005,Bước 1 - Nhập SĐT,High,Negative - SĐT sai định dạng: dư số (11 chữ số),Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Nhập SĐT 11 chữ số2. Click nút ""Gửi mã xác thực""",SĐT: 09123456789,"1. Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số.""2. Không chuyển sang Bước 2",High,"Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số."" khi SĐT thừa chữ số.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_006,Bước 1 - Nhập SĐT,High,Negative - SĐT không bắt đầu bằng 0 hoặc +84,Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Nhập SĐT bắt đầu bằng đầu số khác (Ví dụ: 1912345678)2. Click nút ""Gửi mã xác thực""",SĐT: 1912345678,"1. Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số.""2. Không chuyển sang Bước 2",High,"Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số."" khi SĐT không bắt đầu bằng 0.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_007,Bước 1 - Nhập SĐT,High,Negative - Để trống ô số điện thoại và click gửi,Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Để trống ô nhập số điện thoại2. Click nút ""Gửi mã xác thực""",SĐT: (Rỗng),"1. Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số.""2. Hệ thống không gửi request",High,"Hiển thị lỗi inline: ""Vui lòng nhập đúng số điện thoại gồm 10 chữ số."" khi để trống ô SĐT.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_008,Bước 1 - Nhập SĐT,High,Security - Nút gửi bị vô hiệu hóa khi đang gửi OTP để phòng chống spam,Modal Quên mật khẩu đang hiển thị ở Bước 1.,"1. Nhập SĐT hợp lệ2. Click nút ""Gửi mã xác thực"" và quan sát trạng thái của nút ngay lập tức",SĐT: 0912345678,"1. Trong thời gian gọi API, trạng thái isSendingOtp chuyển sang true.2. Nút ""Gửi mã xác thực"" bị vô hiệu hóa (disabled) tạm thời để tránh người dùng nhấn liên tục.",High,Phát hiện Dev Bug: Nút gửi không bị disabled khi đang gọi API gửi OTP.,Failed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_009,Bước 2 - Xác thực OTP,High,Happy Path - Nhập OTP đúng và chuyển sang Bước 3,Modal đang ở Bước 2. OTP chính xác là 123456 (lấy từ console/SMS).,"1. Nhập đủ 6 số OTP vào các ô2. Click nút ""Tiếp tục""",OTP: 123456,1. Dừng đồng hồ đếm ngược.2. Chuyển sang Bước 3 (Cài đặt mật khẩu mới).3. Không hiển thị lỗi.,High,Nhập OTP đúng và click Tiếp tục chuyển sang Bước 3 (Đặt mật khẩu mới) thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_FP_TC_010,Bước 2 - Xác thực OTP,High,Negative - Nhập OTP sai hiển thị lỗi,Modal đang ở Bước 2. OTP đúng là 123456.,"1. Nhập mã OTP sai2. Click nút ""Tiếp tục""",OTP: 999999,"1. Hiển thị lỗi inline bên dưới: ""Mã xác thực không đúng. Vui lòng thử lại.""2. Vẫn giữ nguyên ở Bước 2.3. Không làm gián đoạn đồng hồ đếm ngược.",High,"Nhập OTP sai hiển thị lỗi inline: ""Mã xác thực không đúng. Vui lòng thử lại."" đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
