TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_ADMIN_BLACKLIST_TC_001,Quản lý Từ khóa cấm,High,Happy Path - Thêm mới từ khóa cấm thành công,Quản trị viên đã đăng nhập và đang ở trang quản lý từ khóa cấm.,1. Click nút Thêm từ khóa mới2. Nhập Nội dung từ khóa: lừa đảo3. Chọn Mức độ vi phạm: Cao4. Nhấp chọn Trạng thái: Đang áp dụng5. Click Lưu từ khóa,Nội dung: lừa đảoMức độ: CaoTrạng thái: Đang áp dụng,Thêm mới thành công. Hiển thị Toast: 'Đã thêm từ khóa mới lừa đảo vào danh sách.' Từ khóa hiển thị đầu tiên trên bảng. Widget KPIs mức Cao tăng thêm 1.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_002,Quản lý Từ khóa cấm,High,Validation - Để trống Nội dung từ khóa khi lưu,Đang mở modal thêm từ khóa mới.,1. Để trống trường Nội dung từ khóa2. Chọn Mức độ vi phạm: Trung bình3. Click Lưu từ khóa,Nội dung: (trống)Mức độ: Trung bình,"Chặn submit, không cho lưu. Hiển thị Toast cảnh báo: 'Vui lòng nhập nội dung từ khóa hạn chế.'",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_003,Quản lý Từ khóa cấm,High,Negative - Trùng lặp từ khóa cấm (đã chuẩn hóa đầu vào),Hệ thống đã có từ khóa cấm 'lừa đảo' trong DB.,1. Click Thêm từ khóa mới2. Nhập Nội dung có khoảng trắng thừa và chữ hoa: '  Lừa Đảo  '3. Click Lưu từ khóa,Nội dung: '  Lừa Đảo  ',"Lưu thất bại. Backend dùng mode insensitive (không lowercase) phát hiện trùng với 'lừa đảo'. Hiển thị Toast lỗi: 'Từ khóa đã tồn tại trong danh sách.' (Lưu ý: chuỗi lưu DB là 'Lừa Đảo' sau trim, không lowercase.)",High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_004,Quản lý Từ khóa cấm,High,Happy Path - Cập nhật Mức độ vi phạm của từ khóa cấm,Từ khóa 'lừa đảo' đang ở mức độ Cao.,1. Chọn sửa từ khóa 'lừa đảo'2. Đổi mức độ vi phạm thành Trung bình3. Click Lưu từ khóa,Mức độ mới: Trung bình,Cập nhật thành công. Mức độ trên bảng đổi thành Trung bình. KPIs tự động giảm 1 Cao và tăng 1 Trung bình.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_005,Quản lý Từ khóa cấm,High,Happy Path - Thay đổi nhanh trạng thái từ khóa cấm (Bật/Tắt áp dụng),Từ khóa 'lừa đảo' đang có trạng thái Đang áp dụng.,1. Tìm từ khóa 'lừa đảo' trong bảng2. Click Toggle switch để chuyển sang Ngưng áp dụng,(không cần),Trạng thái chuyển sang Ngưng áp dụng trên UI và DB. Bộ lọc không áp dụng quét từ khóa này nữa.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_006,Quản lý Từ khóa cấm,High,Security - Nhập ký tự đặc biệt / XSS vào Nội dung từ khóa,Đang mở modal thêm từ khóa mới.,1. Nhập Nội dung: <script>alert(1)</script>2. Chọn Mức độ: Cao3. Click Lưu từ khóa,Nội dung: <script>alert(1)</script>,"Hệ thống sanitize input, không thực thi script. Nội dung được lưu dưới dạng plain text hoặc bị từ chối. Không xuất hiện popup alert.",High,"Bug: Hệ thống cho phép lưu từ khóa rỗng sau khi sanitize (Thông báo alert hiển thị: Đã thêm từ khóa mới """" vào danh sách).",Failed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_007,Quản lý Từ khóa cấm,Medium,Validation - Nhập từ khóa vượt quá giới hạn ký tự cho phép,Đang mở modal thêm từ khóa mới (giới hạn 255 ký tự).,1. Nhập nội dung dài đúng 256 ký tự (a...a)2. Click Lưu từ khóa,Nội dung: chuỗi 256 ký tự 'aaa...',Hệ thống chặn không cho nhập tiếp quá 255 ký tự hoặc báo lỗi validation: 'Nội dung từ khóa tối đa 255 ký tự.',Medium,Skip: Hệ thống hiện tại chưa chặn kiểm tra độ dài đầu vào 255 ký tự ở mức frontend.,Skip,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_008,Quản lý Từ khóa cấm,High,Security - Chỉnh sửa/Xóa từ khóa khi không có quyền Quản trị viên,Đăng nhập bằng tài khoản bán vé 'banve1' (không có quyền blacklist).,1. Cố tình truy cập trang: /admin/quan-ly-tu-khoa-cam2. Gửi REST API request trực tiếp: POST /api/tu-khoa-cam,(không cần),UI bị chặn bởi AdminGuard (redirect về login). Gọi API trực tiếp backend trả về 403 Forbidden.,High,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_009,Quản lý Từ khóa cấm,Medium,Happy Path - Tìm kiếm từ khóa theo text nội dung,"Hệ thống có các từ khóa: 'lừa đảo', 'quảng cáo', 'gian lận'.",1. Nhập từ khóa 'quảng' vào ô tìm kiếm2. Nhấn nút Tìm kiếm hoặc Enter,Từ khóa tìm kiếm: 'quảng',"Bảng danh sách lọc chính xác, chỉ hiển thị dòng chứa từ 'quảng cáo'.",Medium,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_ADMIN_BLACKLIST_TC_010,Quản lý Từ khóa cấm,Medium,Happy Path - Lọc từ khóa theo Tab Trạng thái hoạt động,Hệ thống có cả từ khóa Đang áp dụng và Ngưng áp dụng.,1. Click Tab 'Đang áp dụng' và quan sát2. Click Tab 'Ngưng áp dụng' và quan sát,(không cần),Tab Đang áp dụng chỉ hiển thị từ khóa có trạng thái Đang áp dụng. Tab Ngưng áp dụng chỉ hiển thị từ khóa có trạng thái Ngưng áp dụng.,Medium,Thực hiện thành công khớp với mong đợi.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
