TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Status,Actual Result,Design By,Design Date,Execute By,Execute Date
TXP_LOOK_TC_001,Tra cứu vé,Medium,Happy Path - Tra cứu vé thành công bằng mã đơn hàng hợp lệ và SĐT đúng,"Mock lookup trả về đơn DH10000001 liên kết với SĐT 0912345678, trạng thái Chờ khởi hành.","1. Truy cập trang Tra cứu vé2. Nhập mã đơn hàng vào ô mã3. Nhập số điện thoại4. Click nút ""Tra cứu""",Mã đơn/vé: DH10000001 | SĐT: 0912345678,"1. Trả về thông tin chi tiết đơn hàng: Mã đơn, tên người đi, số điện thoại, ngày đi, giờ khởi hành, điểm đón/trả, biển số xe, số lần đã sửa.2. Hiển thị danh sách vé điện tử thuộc đơn hàng gồm mã vé, số ghế, trạng thái bằng tiếng Việt (Ví dụ: Chờ khởi hành) và mã QR.",Medium,Passed,"Hiển thị thành công thông tin đơn hàng DH10000001, họ tên Nguyễn Văn A, trạng thái Chờ khởi hành và QR vé.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_002,Tra cứu vé,Medium,Happy Path - Tra cứu vé thành công bằng mã vé điện tử và SĐT đúng,"Mock lookup trả về vé VE100001 thuộc đơn DH10000001, SĐT 0912345678.","1. Nhập mã vé vào ô nhập mã2. Nhập số điện thoại3. Click nút ""Tra cứu""",Mã đơn/vé: VE100001 | SĐT: 0912345678,Hệ thống trả về thông tin chi tiết đơn hàng tương ứng giống như khi tra cứu bằng mã đơn hàng.,Medium,Passed,"Tra cứu bằng mã vé VE100001 thành công, hệ thống hiển thị đúng đơn hàng DH10000001.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_003,Tra cứu vé,Medium,Alternate Path - Tra cứu với mã viết thường (Case-insensitive),Mock lookup chấp nhận mã đơn viết thường.,"1. Nhập mã đơn hàng bằng chữ thường2. Nhập số điện thoại3. Click nút ""Tra cứu""",Mã đơn/vé: dh10000001 | SĐT: 0912345678,"Hệ thống xử lý không phân biệt hoa thường, tìm kiếm và trả về thông tin đơn hàng thành công.",Medium,Passed,Nhập mã dh10000001 dạng chữ thường vẫn tra cứu thành công và hiển thị chi tiết đơn hàng.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_004,Tra cứu vé,Medium,Negative - Tra cứu với Số điện thoại sai,Mock lookup trả 404 khi SĐT không khớp đơn hàng.,"1. Nhập đúng mã đơn hàng DH100000012. Nhập sai số điện thoại3. Click nút ""Tra cứu""",Mã đơn/vé: DH10000001 | SĐT: 0988888888,"1. API trả về status 404 Not Found.2. Hiển thị thông báo lỗi: ""Không tìm thấy đơn đặt vé nào khớp với thông tin cung cấp!""",Medium,Passed,Nhập sai số điện thoại trả lỗi 404 và UI hiển thị thông báo Không tìm thấy đơn đặt vé nào khớp với thông tin cung cấp.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_005,Tra cứu vé,Medium,Negative - Tra cứu với mã đơn hàng không tồn tại,Mock lookup trả 404 khi mã đơn không tồn tại.,"1. Nhập mã đơn hàng không tồn tại2. Nhập số điện thoại3. Click nút ""Tra cứu""",Mã đơn/vé: DH00000000 | SĐT: 0912345678,"1. API trả về status 404 Not Found.2. Hiển thị lỗi: ""Không tìm thấy đơn đặt vé nào khớp với thông tin cung cấp!""",Medium,Passed,Nhập mã đơn không tồn tại DH00000000 trả lỗi 404 và UI hiển thị thông báo không tìm thấy đơn đặt vé.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_006,Tra cứu vé,Medium,Validation - Tra cứu để trống trường thông tin bắt buộc,Trang tra cứu đang hiển thị.,1. Nhấp click Tìm kiếm khi bỏ trống mã đơn hàng hoặc số điện thoại,Mã đơn/vé: (Rỗng) | SĐT: (Rỗng),"1. API trả về status 400 Bad Request.2. Hiển thị thông báo yêu cầu: ""Vui lòng cung cấp đầy đủ mã vé/mã đơn hàng và số điện thoại!""",Medium,Passed,"Bỏ trống mã và số điện thoại, request lookup trả 400 và UI hiển thị thông báo Vui lòng cung cấp đầy đủ mã vé/mã đơn hàng và số điện thoại.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_007,Tra cứu vé,Medium,Mapping - Trạng thái đơn hàng hiển thị chuẩn hóa tiếng Việt,Mock lookup trả raw status ChoKhoiHanh.,1. Thực hiện tra cứu thành công đơn hàng DH100000012. Quan sát dòng trạng thái hiển thị trên giao diện,Mã đơn/vé: DH10000017 | Mock status: ChoKhoiHanh,"Trạng thái đơn hàng hiển thị chính xác là tiếng Việt: ""Chờ khởi hành"".",Medium,Passed,Raw status ChoKhoiHanh được map và hiển thị trên UI là Chờ khởi hành.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_008,Tra cứu vé,Medium,Mapping - Trạng thái đơn hàng đã hủy hiển thị tiếng Việt,Mock lookup trả raw status DaHuy.,1. Thực hiện tra cứu thành công đơn hàng DH100000022. Quan sát dòng trạng thái hiển thị,Mã đơn/vé: DH10000017 | Mock status: DaHuy,"Trạng thái hiển thị là: ""Đã hủy"".",Medium,Passed,Raw status DaHuy được map là Đã hủy; nút Hủy vé bị vô hiệu hóa.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_009,Lịch sử đặt vé,Medium,Happy Path - Xem lịch sử đặt vé thành công khi đã đăng nhập,Mock trạng thái đăng nhập và mock API history trả về 1 đơn có 2 vé.,1. Truy cập mục Lịch sử đặt vé2. Gửi request kèm Bearer JWT Token hợp lệ trong Authorization header,Token: mock_token_123 | Đơn lịch sử: DH10000001,"1. API trả về danh sách toàn bộ các đơn hàng đã đặt của tài khoản.2. Danh sách sắp xếp theo thời gian đặt mới nhất giảm dần.3. Mỗi đơn hàng hiển thị đầy đủ: mã đơn, tuyến, ngày/giờ đi, SĐT, tổng tiền, số lượng vé, trạng thái.",Medium,Passed,"Trang hồ sơ mở tab Lịch sử mua vé thành công, hiển thị đơn DH10000001, tuyến Bình Định - TP. HCM, số lượng vé 2 và trạng thái Chờ khởi hành.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_012,Lịch sử đặt vé,Medium,Boundary - Lịch sử đặt vé hiển thị thông tin rút gọn cho từng vé trong đơn,Mock API history trả về đơn DH10000001 có 2 vé.,1. Xem chi tiết đơn hàng DH10000001 trong danh sách lịch sử,Mã đơn: DH10000001 | Số vé: 2,"Hiển thị thông tin rút gọn của cả 2 vé: mã vé, giá vé, trạng thái tương ứng.",Medium,Passed,Dòng lịch sử hiển thị đúng đơn hàng có 2 vé và trạng thái Chờ khởi hành theo dữ liệu mock history.,Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_013,Cập nhật thông tin vé,High,Happy Path - Cập nhật thông tin đơn hàng hợp lệ lần đầu (thời gian khởi hành > 2 tiếng),Mock lookup và update-info success; không ghi DB thật.,"1. Nhấn Chỉnh sửa thông tin đơn hàng2. Nhập Họ tên mới, SĐT mới, Email mới, chọn điểm đón/trả mới3. Nhấn ""Lưu/Cập nhật""",Họ tên mới: Nguyễn Văn C | SĐT mới: 0911222333 | Email mới: nguoi_di_new@gmail.com,"1. Cập nhật thành công, lưu thông tin mới vào DB.2. Trả về thông tin đơn hàng mới.3. Số lần đã sửa (SoLanDaSua) của các vé điện tử tăng thêm 1 (lên 1).4. Tạo bản ghi lịch sử LICH_SU_VE dạng LSV100001.",High,Passed,"Mở modal chỉnh sửa, nhập họ tên Nguyễn Văn C, SĐT 0911222333, email mới, chọn điểm đón/trả mới và xác nhận lưu thành công; modal đóng và thông tin mới hiển thị trên trang.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
TXP_LOOK_TC_015,Cập nhật thông tin vé,High,Negative - Từ chối cập nhật lần thứ 3 khi đã hết lượt chỉnh sửa,Mock lookup trả SoLanDaSua = 2.,1. Click Chỉnh sửa thông tin đơn hàng2. Nhập thông tin thay đổi và nhấn Lưu,Mã đơn: DH10000001 | SoLanDaSua: 2,"1. API trả về status 400 Bad Request.2. Message lỗi hiển thị: ""Bạn đã hết lượt chỉnh sửa thông tin cho vé này (tối đa 2 lần)!""3. Thông tin không được thay đổi.",High,Passed,"Khi SoLanDaSua = 2, nút Chỉnh sửa thông tin vé bị disabled, không cho thực hiện lần chỉnh sửa thứ 3.",Đỗ Thị Phương,01/06/2026,Playwright,01/06/2026
