TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Status,Actual Result,Design By,Execute By,Design Date,Execute Date
TXP_SEARCH_TC_001,Tìm kiếm chuyến chạy,High,Happy Path - Tìm kiếm chuyến một chiều hợp lệ thành công,Trang /tim-kiem-chuyen đang hiển thị. Backend có tuyến đang hoạt động và có lịch trình còn ghế trống.,1. Nhập Điểm đi từ dropdown địa điểm đang hoạt động2. Nhập Điểm đến khác Điểm đi3. Chọn Ngày đi là hôm nay hoặc ngày tương lai4. Chọn Số vé từ dropdown5. Click TÌM KIẾM,Điểm đi: Bình Định hoặc điểm khởi hành có trong /customer/home/routes | Điểm đến: TP. Hồ Chí Minh hoặc điểm đến tương ứng | Ngày đi: ngày có lịch trình | Số vé: 1-5,"1. Frontend lưu lượt tìm kiếm vào localStorage key recentSearches.2. URL /tim-kiem-chuyen được cập nhật query params gồm diemDi, diemDen, ngayDi, passengers, adults, children, infants.3. Frontend gọi GET /customer/tim-kiem-chuyen-xe/search với departure, destination, date.4. Backend trả về các lịch trình còn ít nhất 1 ghế Trong; frontend hiển thị danh sách chuyến.",High,Passed,"Tìm kiếm chuyến một chiều thành công. URL chứa đúng tham số query params (diemDi=Đập Đá, diemDen=Bến xe Miền Đông, ngayDi=31/05/2026, passengers=2) và frontend gọi API search.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_002,Tìm kiếm chuyến chạy,High,Happy Path - Bật khứ hồi và tìm kiếm với Ngày về hợp lệ,Trang /tim-kiem-chuyen đang hiển thị.,1. Click Khứ hồi2. Nhập Điểm đi và Điểm đến hợp lệ3. Chọn Ngày đi4. Chọn Ngày về sau hoặc bằng Ngày đi theo rule hiện tại5. Click TÌM KIẾM,isRoundTrip=true | ngayVe: sau ngày đi,"1. Ô Ngày về hiển thị khi bật Khứ hồi.2. URL có query params ngayVe và isRoundTrip=true.3. Frontend vẫn chỉ gọi API search một chiều với departure, destination, date; backend hiện không tìm riêng chuyến chiều về.4. Danh sách hiển thị là danh sách chuyến theo chiều Điểm đi -> Điểm đến của ngày đi.",High,Passed,"Tìm kiếm khứ hồi thành công. URL chứa đúng tham số query params (isRoundTrip=true, ngayVe=03/06/2026).",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_003,Tìm kiếm chuyến chạy,High,Known Gap - Nút hoán đổi chưa cập nhật đúng giá trị input tìm kiếm,Hai ô Điểm đi và Điểm đến đã có giá trị.,1. Chọn Điểm đi2. Chọn Điểm đến khác Điểm đi3. Click nút swap sync_alt4. Quan sát hai input và thử click TÌM KIẾM,Điểm đi: Bình Định | Điểm đến: TP. Hồ Chí Minh,"Theo frontend hiện tại, swapLocations() chỉ hoán đổi biến departure/destination, chưa hoán đổi departureSearch/destinationSearch đang bind với input. Khi bấm TÌM KIẾM, searchTrip() lấy lại dữ liệu từ departureSearch/destinationSearch nên có thể giữ nguyên chiều tìm kiếm cũ. Testcase phải ghi nhận đây là gap hiện tại, không kỳ vọng UI swap thành công.",High,Skip,"Nút swap chỉ hoán đổi biến trong controller mà không cập nhật giá trị hiển thị trên UI. Khi click Tìm kiếm, chiều đi/về vẫn được giữ nguyên như cũ.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_004,Tìm kiếm chuyến chạy,High,Alternate Path - Chọn Một chiều ẩn trường Ngày về,Trang đang ở chế độ Khứ hồi và ô Ngày về đang hiển thị.,1. Click Một chiều2. Quan sát form tìm kiếm3. Click TÌM KIẾM với dữ liệu hợp lệ,Hành động: Chọn Một chiều,"1. isRoundTrip=false.2. Ô Ngày về bị ẩn khỏi UI.3. Khi tìm kiếm, query param isRoundTrip không còn true; ngayVe không được dùng cho search API backend.",High,Passed,"Khi chuyển sang Một chiều, trường Ngày về được ẩn hoàn toàn thành công.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_005,Tìm kiếm chuyến chạy,High,Negative - Chọn Ngày đi trong quá khứ,Trang tìm kiếm đang hiển thị và calendar Ngày đi có ngày quá khứ.,1. Mở popover Ngày đi2. Click ngày trước ngày hiện tại,Ngày đi: hôm qua,1. selectDepartureDate() kiểm tra isPastDate(dateStr)=true.2. Hiển thị toast error: Không thể chọn ngày trong quá khứ.3. departureDate không được cập nhật.4. Calendar vẫn ở trạng thái trước khi chọn sai hoặc đóng theo hành vi UI hiện tại nếu click ngoài.,High,Passed,"Hệ thống ngăn không cho click ngày quá khứ. Mặc dù click vào ô ngày quá khứ (29/05), calendar không cập nhật và hiển thị toast warning: ""Không thể chọn ngày trong quá khứ"".",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_006,Tìm kiếm chuyến chạy,High,Negative - Chọn Ngày về trước Ngày đi ở chế độ Khứ hồi,Trang đang ở chế độ Khứ hồi. Ngày đi đã chọn.,1. Mở ô Ngày về2. Chọn một ngày nhỏ hơn Ngày đi,Ngày đi: D1 | Ngày về cố chọn: D0 < D1,1. selectReturnDate() phát hiện retDate < depDate.2. Hiển thị toast error: Ngày về phải sau ngày đi.3. returnDate không được cập nhật.,High,Passed,"Hệ thống hiển thị toast warning ""Ngày về phải sau ngày đi"" khi cố chọn ngày về nhỏ hơn ngày đi.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_007,Tìm kiếm chuyến chạy,High,Validation - Dropdown không cho chọn Điểm đi và Điểm đến trùng nhau,Danh sách địa điểm đã được load từ /customer/home/routes.,1. Chọn Điểm đi2. Focus ô Điểm đến3. Quan sát dropdown Điểm đến,Điểm đi: một địa điểm bất kỳ trong locations,"1. destinationOptions/filteredDestinations loại bỏ địa điểm đang là departure.2. Địa điểm đã chọn ở Điểm đi không xuất hiện trong dropdown Điểm đến.3. Tương tự, dropdown Điểm đi loại bỏ destination đang chọn.",High,Passed,Dropdown Điểm đến tự động loại trừ địa điểm đang là Điểm đi và ngược lại.,Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_008,Tìm kiếm chuyến chạy,High,Validation - Bấm Tìm kiếm khi bỏ trống thông tin bắt buộc,"Trang tìm kiếm đang hiển thị. Form chưa có đủ Điểm đi, Điểm đến hoặc Ngày đi.",1. Xóa Điểm đi hoặc Điểm đến hoặc Ngày đi2. Click TÌM KIẾM,Thiếu ít nhất 1 trường bắt buộc,"1. searchTrip() dừng trước khi navigate.2. Hiển thị toast warning: Vui lòng nhập đủ Điểm đi, Điểm đến và Ngày đi trước khi tìm kiếm.3. Không gọi API search và không cập nhật URL tìm kiếm mới.",High,Passed,"Bấm Tìm kiếm khi bỏ trống thông tin bắt buộc hiện toast warning ""Vui lòng nhập đủ Điểm đi, Điểm đến và Ngày đi trước khi tìm kiếm"" và chặn điều hướng.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_009,Đặt cabin & Dịch vụ,High,Happy Path - Chọn cabin trống ở tầng dưới chuyển sang trạng thái đang chọn,Danh sách chuyến có trip còn ghế trống. Trip card đã được mở tab Chọn ghế.,1. Click một cabin tầng dưới có status available2. Quan sát sơ đồ ghế và summary ghế đã chọn,Cabin: 1A hoặc cabin tầng dưới còn trống,1. toggleSeat() đổi seat.status từ available sang selected.2. selectedRoomGuests[seat.name] = 1.3. selectedSeatsList có mã ghế vừa chọn.4. Cabin đổi sang style selected màu secondary/cam.5. totalPrice được tính lại bằng giá cơ bản của chuyến.,High,Passed,"Chọn cabin 1A (tầng dưới) thành công, trạng thái đổi sang màu cam (bg-secondary/selected), tổng tiền tăng tương ứng.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_010,Đặt cabin & Dịch vụ,High,Happy Path - Chọn cabin trống ở tầng trên chuyển sang trạng thái đang chọn,Danh sách chuyến có trip còn ghế trống. Trip card đã được mở tab Chọn ghế.,1. Click một cabin tầng trên có status available2. Quan sát sơ đồ ghế và summary ghế đã chọn,Cabin: 1B hoặc cabin tầng trên còn trống,1. toggleSeat() đổi seat.status từ available sang selected.2. selectedRoomGuests[seat.name] = 1.3. selectedSeatsList có mã ghế vừa chọn.4. Cabin đổi sang style selected màu secondary/cam.,High,Passed,"Chọn cabin 1B (tầng trên) thành công, trạng thái đổi sang màu cam (bg-secondary/selected), tổng tiền tăng tương ứng.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_011,Đặt cabin & Dịch vụ,High,Happy Path - Chọn Phòng đơn giữ nguyên giá vé cơ bản,Đã chọn 1 cabin trống trên sơ đồ ghế.,1. Giữ option Phòng đơn cho cabin đã chọn2. Quan sát tổng tiền,Cabin: 1A | selectedRoomGuests[1A]=1 | base price=P,1. recalculatePrice(): guests === 1 nên roomPrice = P.2. totalPrice = P cho một cabin.3. Không cộng phụ thu 200.000đ.,High,Passed,"Chọn cabin phòng đơn, giá vé giữ nguyên giá vé gốc của lịch trình.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_012,Đặt cabin & Dịch vụ,High,Happy Path - Chọn Phòng đôi cộng phụ thu 200.000đ,Đã chọn 1 cabin trống trên sơ đồ ghế.,1. Mở select loại phòng của cabin đã chọn2. Chọn Phòng đôi3. Quan sát tổng tiền,Cabin: 1A | selectedRoomGuests[1A]=2 | base price=P,1. recalculatePrice(): guests === 2 nên roomPrice = P + 200.000đ.2. totalPrice tăng đúng 200.000đ so với phòng đơn của cùng cabin.,High,Passed,"Chọn cabin phòng đôi, tổng giá trị tăng thêm 200.000đ.",Đỗ Thị Phương,Playwright,31/05/2026,31/05/2026
TXP_SEARCH_TC_013,Đặt cabin & Dịch vụ,High,Happy Path - Nút Chọn ghế sau khi chọn cabin điều hướng sang Thông tin đơn hàng,Trip card đang mở tab Chọn ghế. Đã chọn ít nhất 1 cabin.,1. Chọn 1 cabin trống2. Click nút Chọn ghế ở cuối khu vực cấu hình ghế3. Kiểm tra localStorage và URL,selectedSeatsList: [1A] | totalPrice > 0,"1. UI hiện nút Chọn ghế, không có nút Xác nhận ghế.2. confirmSelection() kiểm tra selectedSeatsList.length > 0.3. selectTripAndNavigate(trip, false) được gọi, nên KHÔNG gọi reserveSeats ở màn tìm chuyến.4. localStorage key current_booking lưu selectedSeats, selectedRoomGuests, totalPrice.5. Điều hướng sang /thong-tin-don-hang.",High,Passed,"Click Xác nhận/Chọn ghế thành công, thông tin được lưu tạm thời vào localStorage và điều hướng thành công đến trang /thong-tin-don-hang.",Đỗ Thị Phương,Playwright,01/06/2026,01/06/2026
