TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Execute By
TXP_HOME_TC_001,Form tìm kiếm chuyến xe,High,Happy Path - Tìm kiếm một chiều hợp lệ với đầy đủ thông tin,Trang chủ https://kien-tap-code.vercel.app/home đang hiển thị ở chế độ tìm kiếm mặc định (Một chiều).,"1. Nhấp vào ô ""Điểm đi"" và chọn ""Bình Định"" từ danh sách dropdown2. Nhấp vào ô ""Điểm đến"" và chọn ""TP. Hồ Chí Minh"" từ danh sách dropdown3. Nhấp vào ô ""Ngày đi"" và chọn ngày mai (Ví dụ: 31/05/2026)4. Nhấp vào ô chọn hành khách, chọn mặc định (1 Người lớn, 0 Trẻ em, 0 Em bé)5. Nhấp nút ""TÌM KIẾM""",Điểm đi: Bình Định | Điểm đến: TP. Hồ Chí Minh | Ngày đi: 31/05/2026 | Hành khách: 1 Người lớn,1. Lưu thông tin tìm kiếm gần đây vào localStorage.2. Điều hướng đến trang kết quả tìm kiếm /tim-kiem-chuyen với query params: diemDi=Binh Dinh&diemDen=TP. Ho Chi Minh&ngayDi=31/05/2026&isRoundTrip=false&passengers=1&adults=1&children=0&infants=0,High,"Tìm kiếm một chiều thành công, URL chứa đúng tham số diemDi, diemDen, ngayDi, isRoundTrip=false, passengers=1.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_002,Form tìm kiếm chuyến xe,High,Happy Path - Tìm kiếm khứ hồi hợp lệ với đầy đủ thông tin,Trang chủ https://kien-tap-code.vercel.app/home đang hiển thị.,"1. Click chọn toggle ""Khứ hồi""2. Nhấp vào ô ""Điểm đi"" và chọn ""TP. Hồ Chí Minh""3. Nhấp vào ô ""Điểm đến"" và chọn ""Phú Yên""4. Nhấp vào ô ""Ngày đi"" và chọn ngày mai (Ví dụ: 31/05/2026)5. Nhấp vào ô ""Ngày về"" và chọn ngày kia (Ví dụ: 02/06/2026)6. Nhấp nút ""TÌM KIẾM""",Toggle: Khứ hồi | Điểm đi: TP. Hồ Chí Minh | Điểm đến: Phú Yên | Ngày đi: 31/05/2026 | Ngày về: 02/06/2026,1. Lưu thông tin tìm kiếm vào localStorage.2. Điều hướng đến trang kết quả /tim-kiem-chuyen với query params chứa: diemDi=TP. Ho Chi Minh&diemDen=Phu Yen&ngayDi=31/05/2026&ngayVe=02/06/2026&isRoundTrip=true&passengers=1&adults=1&children=0&infants=0,High,"Tìm kiếm khứ hồi thành công, URL chứa đúng các tham số diemDi, diemDen, ngayDi, ngayVe, isRoundTrip=true, passengers=1.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_003,Form tìm kiếm chuyến xe,High,Happy Path - Hoán đổi Điểm đi và Điểm đến bằng nút swap,"Trang chủ đang hiển thị, ô Điểm đi và Điểm đến đã có giá trị.","1. Nhập Điểm đi là ""Bình Định""2. Nhập Điểm đến là ""TP. Hồ Chí Minh""3. Click vào nút hoán đổi (icon swap) giữa hai ô",Điểm đi: Bình Định | Điểm đến: TP. Hồ Chí Minh,"1. Giá trị ở ô Điểm đi đổi thành ""TP. Hồ Chí Minh""2. Giá trị ở ô Điểm đến đổi thành ""Bình Định""3. Không có thông báo lỗi hay reload trang",High,"Hoán đổi điểm đi và điểm đến thành công bằng nút swap, không reload trang.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_004,Form tìm kiếm chuyến xe,High,Validation - Click Tìm kiếm khi để trống toàn bộ thông tin bắt buộc,"Trang chủ đang hiển thị, form tìm kiếm trống.","1. Click trực tiếp nút ""TÌM KIẾM""",Điểm đi: (Rỗng) | Điểm đến: (Rỗng) | Ngày đi: (Rỗng),"1. Hiển thị toast warning với nội dung: ""Vui lòng nhập đầy đủ thông tin tìm kiếm""2. Trang không thực hiện điều hướng",High,"Hiển thị toast warning ""Vui lòng nhập đầy đủ thông tin tìm kiếm"" khi để trống toàn bộ thông tin.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_005,Form tìm kiếm chuyến xe,High,Validation - Click Tìm kiếm khi chỉ nhập Điểm đi và Điểm đến, bỏ trống Ngày đi,Trang chủ đang hiển thị.,"1. Nhập Điểm đi là ""Bình Định""2. Nhập Điểm đến là ""TP. Hồ Chí Minh""3. Xóa/Để trống ô Ngày đi4. Click nút ""TÌM KIẾM""",Điểm đi: Bình Định | Điểm đến: TP. Hồ Chí Minh | Ngày đi: (Rỗng),"1. Hiển thị toast warning: ""Vui lòng nhập đầy đủ thông tin tìm kiếm""2. Không điều hướng trang","Hiển thị toast warning ""Vui lòng nhập đầy đủ thông tin tìm kiếm"" khi bỏ trống ngày đi.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_006,Form tìm kiếm chuyến xe,High,Boundary - Chọn Ngày đi trong quá khứ,"Trang chủ đang hiển thị, ô Ngày đi đang trống hoặc có sẵn ngày hôm nay.",1. Click vào trường Ngày đi để mở lịch tháng hiện tại2. Click chọn một ngày trong quá khứ (Ví dụ: ngày hôm qua 29/05/2026),Ngày đi: 29/05/2026 (ngày hiện tại là 30/05/2026),"1. Hiển thị toast error: ""Không thể chọn ngày trong quá khứ""2. Ngày đi không được cập nhật sang ngày quá khứ, giữ nguyên giá trị trước đó hoặc mặc định",High,"Hiển thị toast error ""Không thể chọn ngày trong quá khứ"" khi chọn ngày đi trong quá khứ.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_007,Form tìm kiếm chuyến xe,High,Boundary - Chọn Ngày về trước Ngày đi ở chế độ Khứ hồi (ngày hôm nay),"Trang chủ đang hiển thị, toggle Khứ hồi được chọn, Ngày đi đã chọn là ngày mai.",1. Chọn Ngày đi là 01/06/20262. Click mở lịch ở ô Ngày về3. Chọn ngày về là hôm nay 30/05/2026 (trước Ngày đi),Ngày đi: 01/06/2026 | Ngày về: 30/05/2026,"1. Hiển thị toast error: ""Không thể chọn ngày trong quá khứ""2. Giá trị Ngày về không được ghi nhận",High,"Hiển thị toast error ""Ngày về phải sau ngày đi"" khi chọn ngày về trước ngày đi.",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_008,Form tìm kiếm chuyến xe,High,State Transition - Thay đổi Ngày đi làm Ngày về cũ không hợp lệ,"Trang chủ đang hiển thị, toggle Khứ hồi được chọn, đã chọn sẵn Ngày đi và Ngày về.",1. Chọn Ngày đi là 01/06/20262. Chọn Ngày về là 03/06/20263. Mở lịch ở ô Ngày đi và đổi Ngày đi thành 05/06/2026 (sau Ngày về cũ),Ngày đi mới: 05/06/2026 | Ngày về cũ: 03/06/2026,"1. Hệ thống tự động xóa giá trị ở ô Ngày về2. Hiển thị toast warning: ""Ngày về phải sau ngày đi. Vui lòng chọn lại ngày về.""",High,"Khi thay đổi ngày đi sau ngày về cũ, hệ thống tự động xóa giá trị ô ngày về và hiển thị toast warning ""Ngày về phải sau ngày đi. Vui lòng chọn lại ngày về.""",Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_009,Form tìm kiếm chuyến xe,High,Dropdown - Lọc danh sách Điểm đi loại trừ Điểm đến đang chọn,"Trang chủ hiển thị, ô Điểm đến đã được chọn trước.","1. Nhấp chọn Điểm đến là ""Bình Định""2. Nhấp vào ô ""Điểm đi"" để mở dropdown địa điểm",Điểm đến: Bình Định,"1. Dropdown của ô Điểm đi hiển thị danh sách các địa điểm hoạt động nhưng không chứa ""Bình Định""",High,Danh sách dropdown Điểm đi đã loại trừ Điểm đến đang được chọn.,Passed,?? Th? Ph??ng,Playwright
TXP_HOME_TC_010,Form tìm kiếm chuyến xe,High,Dropdown - Lọc danh sách Điểm đến loại trừ Điểm đi đang chọn,"Trang chủ hiển thị, ô Điểm đi đã được chọn trước.","1. Nhấp chọn Điểm đi là ""TP. Hồ Chí Minh""2. Nhấp vào ô ""Điểm đến"" để mở dropdown địa điểm",Điểm đi: TP. Hồ Chí Minh,"1. Dropdown của ô Điểm đến hiển thị danh sách các địa điểm hoạt động nhưng không chứa ""TP. Hồ Chí Minh""",High,Danh sách dropdown Điểm đến đã loại trừ Điểm đi đang được chọn.,Passed,?? Th? Ph??ng,Playwright
