TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority,Actual Result,Status,Design By,Design Date,Execute By,Execute Date
TXP_PROF_TC_001,Quản lý thông tin hồ sơ,Medium,Happy Path - Hiển thị đầy đủ thông tin cá nhân ở chế độ xem (View Mode),"Khách hàng đã đăng nhập, đang ở trang hồ sơ cá nhân /profile.",1. Quan sát các trường thông tin hiển thị trên giao diện,Tài khoản: auto_user_01,"Hiển thị chính xác các thông tin: Họ và tên, Số điện thoại, Giới tính, Email, Ngày sinh, Ảnh đại diện của tài khoản đang đăng nhập.",Medium,"Hiển thị chính xác đầy đủ thông tin cá nhân: Họ và tên, SĐT, Giới tính, Email, Ngày sinh, Ảnh đại diện.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_002,Quản lý thông tin hồ sơ,Medium,Happy Path - Chuyển sang chế độ chỉnh sửa và cập nhật thông tin thành công,Khách hàng đang ở chế độ xem thông tin hồ sơ.,"1. Click vào nút ""Chỉnh sửa hồ sơ""2. Thay đổi Họ tên, Giới tính, Email, Ngày sinh3. Click nút ""Cập nhật""",Họ tên: Nguyễn Văn Kiểm | Giới tính: Nam | Email: auto_user_edit@gmail.com | Ngày sinh: 15/08/1995,1. Form lưu dữ liệu thành công.2. Trả về chế độ xem (View Mode) hiển thị thông tin mới vừa được cập nhật.3. Hiển thị toast thông báo cập nhật hồ sơ thành công.,Medium,"Thay đổi Họ tên, Giới tính, Email, Ngày sinh và click Cập nhật lưu thành công dữ liệu mới.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_003,Quản lý thông tin hồ sơ,Medium,Boundary - Sửa thông tin hồ sơ nhưng không đổi dữ liệu,Khách hàng đang ở chế độ chỉnh sửa hồ sơ.,"1. Không sửa đổi bất kỳ thông tin nào trên form2. Click nút ""Cập nhật""",Giữ nguyên thông tin cũ,1. Form lưu thành công.2. Giao diện trở về View Mode với dữ liệu cũ không đổi.3. Không có lỗi phát sinh.,Medium,"Cập nhật mà không thay đổi thông tin hoạt động đúng, dữ liệu cũ giữ nguyên không báo lỗi.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_004,Quản lý thông tin hồ sơ,Medium,Security - Trường Số điện thoại bị khóa không cho phép sửa đổi,Khách hàng đang ở chế độ chỉnh sửa hồ sơ.,1. Nhấp chuột vào trường nhập Số điện thoại2. Cố gắng nhập ký tự thay đổi số điện thoại,Hành động: Nhập ký tự thay đổi,"Trường Số điện thoại ở trạng thái readonly/disabled, con trỏ không thể focus, không thể chỉnh sửa giá trị.",Medium,Trường Số điện thoại bị khóa (disabled/readonly) không cho phép thay đổi dữ liệu.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_005,Quản lý thông tin hồ sơ,Medium,Validation - Để trống họ tên hiển thị thông báo lỗi,Khách hàng đang ở chế độ chỉnh sửa hồ sơ.,1. Xóa sạch dữ liệu trong ô Họ và tên2. Nhấp chuột ra ngoài ô nhập hoặc click nút Cập nhật,Họ tên: (Rỗng),"1. Hiển thị thông báo lỗi inline: ""Vui lòng nhập họ tên"".2. Nút ""Cập nhật"" bị vô hiệu hóa (disabled).",Medium,"Để trống Họ tên hiển thị lỗi validation: ""Vui lòng nhập họ tên"" và nút Cập nhật bị disabled.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_006,Quản lý thông tin hồ sơ,Medium,Validation - Nhập email sai định dạng hiển thị thông báo lỗi,Khách hàng đang ở chế độ chỉnh sửa hồ sơ.,1. Nhập email sai định dạng vào ô Email2. Nhấp chuột ra ngoài ô nhập hoặc click Cập nhật,Email: abc@domain (thiếu đuôi tên miền),"1. Hiển thị thông báo lỗi inline: ""Email không hợp lệ"".2. Nút ""Cập nhật"" bị vô hiệu hóa.",Medium,"Nhập email sai định dạng hiển thị lỗi validation: ""Email không hợp lệ"" và nút Cập nhật bị disabled.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_007,Quản lý thông tin hồ sơ,Medium,Happy Path - Tải lên ảnh đại diện đúng định dạng và dung lượng hợp lệ,Khách hàng đang ở trang hồ sơ cá nhân.,1. Click chọn tải lên ảnh đại diện (avatar upload)2. Chọn file ảnh JPG dung lượng 500KB3. Click lưu/cập nhật,File: avatar_test.jpg (500KB),Ảnh đại diện hiển thị cập nhật hình ảnh mới thành công.,Medium,Tải lên avatar file JPG dung lượng 500KB thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_008,Quản lý thông tin hồ sơ,Medium,Boundary - Tải lên ảnh đại diện đúng định dạng sát mốc giới hạn 1MB,Khách hàng đang ở trang hồ sơ cá nhân.,1. Chọn file ảnh PNG dung lượng đúng 1.0MB (1024KB)2. Click tải lên,File: avatar_1mb.png (1024KB),"Ảnh tải lên thành công, cập nhật giao diện bình thường.",Medium,Tải lên avatar file PNG dung lượng sát biên 1MB thành công.,Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_009,Quản lý thông tin hồ sơ,Medium,Negative - Tải lên ảnh đại diện vượt quá dung lượng tối đa 1MB,Khách hàng đang ở trang hồ sơ cá nhân.,1. Chọn file ảnh JPG dung lượng 1.2MB2. Click tải lên,File: big_avatar.jpg (1.2MB),"1. Hiển thị thông báo lỗi: ""File quá lớn, tối đa 1MB"".2. Không thực hiện upload ảnh lên server, giữ nguyên ảnh đại diện cũ.",Medium,"Tải lên file avatar dung lượng 1.2MB hiển thị lỗi validation: ""File quá lớn, tối đa 1MB"".",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
TXP_PROF_TC_010,Quản lý thông tin hồ sơ,Medium,Negative - Tải lên file sai định dạng không được chấp nhận,Khách hàng đang ở trang hồ sơ cá nhân.,1. Chọn tải lên file định dạng tài liệu PDF hoặc ảnh GIF2. Click mở file,File: doc.pdf hoặc image.gif,Hệ thống báo lỗi định dạng file không hợp lệ hoặc từ chối không cho chọn file trong trình duyệt.,Medium,"Trường file input có attribute accept=""image/jpeg,image/png,image/jpg"" từ chối PDF/GIF đúng.",Passed,?? Th? Ph??ng,2026-05-31,Playwright,2026-05-31
